Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
209120_HY55YBGXT_TCDM_1_B12_C17_2_2_i_CCTGCT_S90_R1_001	60.24	4064410.0
209121_HY55YBGXT_TCDM_1_C12_A03_2_3_o_GCGCTG_S91_R1_001	82.98	7741361.0
209122_HY55YBGXT_TCDM_1_D12_C17_2_3_i_GAACCT_S92_R1_001	60.29	2348091.0
209123_HY55YBGXT_TCDM_1_E12_A03_2_2_o_TTCGAG_S93_R1_001	75.17	4594245.0
209124_HY55YBGXT_TCDM_1_F12_C17_2_2_o_AGAATC_S94_R1_001	70.31	5057783.0
209125_HY55YBGXT_TCDM_1_G12_X8_415_3_i_AGGCAT_S95_R1_001	71.67	5230250.0
209126_HY55YBGXT_TCDM_1_H12_X8_415_3_o_ACACGC_S96_R1_001	65.38	5302774.0
209127_HY5CNBGXT_TCDM_2_A01_X4_46_1_o_CAGCGT_S1_R1_001	84.29	4084686.0
209128_HY5CNBGXT_TCDM_2_B01_X8_415_2_i_GATCAC_S2_R1_001	91.83	5760341.0
209129_HY5CNBGXT_TCDM_2_C01_X8_415_2_o_ACCAGT_S3_R1_001	76.52	4507842.0
209130_HY5CNBGXT_TCDM_2_D01_X4_46_3_o_TGCACG_S4_R1_001	75.99	4446916.0
209131_HY5CNBGXT_TCDM_2_E01_X4_46_1_i_ACATTA_S5_R1_001	80.63	5629740.0
209132_HY5CNBGXT_TCDM_2_F01_C14_3_2_o_GTGTAG_S6_R1_001	89.98	4144853.0
209133_HY5CNBGXT_TCDM_2_G01_A03_3_1_o_CTAGTC_S7_R1_001	86.25	3863598.0
209134_HY5CNBGXT_TCDM_2_H01_A03_3_3_o_TGTGCA_S8_R1_001	72.24	4477966.0
209135_HY5CNBGXT_TCDM_2_A02_X4_32_2_i_TCAGGA_S9_R1_001	81.38	4619842.0
209136_HY5CNBGXT_TCDM_2_B02_C14_3_2_i_CGGTTA_S10_R1_001	83.76	4705688.0
209137_HY5CNBGXT_TCDM_2_C02_X4_32_3_i_TTAACT_S11_R1_001	83.53	4130732.0
209138_HY5CNBGXT_TCDM_2_D02_X4_32_3_o_ATGAAC_S12_R1_001	78.75	4122781.0
209139_HY5CNBGXT_TCDM_2_E02_A04_3_2_o_CCTAAG_S13_R1_001	88.99	1434856.0
209140_HY5CNBGXT_TCDM_2_F02_X4_32_1_i_CCGACC_S14_R1_001	88.57	4177720.0
209141_HY5CNBGXT_TCDM_2_G02_A04_3_2_i_GGCTGC_S15_R1_001	91.6	4242048.0
209142_HY5CNBGXT_TCDM_2_H02_A04_3_1_o_TACCTT_S16_R1_001	91.13	4786683.0
209143_HY5CNBGXT_TCDM_2_A03_C14_3_3_o_TCTTAA_S17_R1_001	88.84	4501624.0
209144_HY5CNBGXT_TCDM_2_B03_C14_3_1_i_GTCAGG_S18_R1_001	91.94	4503115.0
209145_HY5CNBGXT_TCDM_2_C03_A04_3_3_o_ATACTG_S19_R1_001	90.72	1199467.0
209146_HY5CNBGXT_TCDM_2_D03_A27_3_3_i_TATGTC_S20_R1_001	90.61	4534511.0
209147_HY5CNBGXT_TCDM_2_E03_C14_3_3_i_GAGTCC_S21_R1_001	69.5	90655.0
209148_HY5CNBGXT_TCDM_2_F03_A03_3_1_i_GGAGGT_S22_R1_001	75.88	1779368.0
209149_HY5CNBGXT_TCDM_2_G03_A03_3_3_i_CACACT_S23_R1_001	82.79	2016566.0
209150_HY5CNBGXT_TCDM_2_H03_X4_32_1_o_CCGCAA_S24_R1_001	84.87	4412718.0
209151_HY5CNBGXT_TCDM_2_A04_A04_3_3_i_TTTATG_S25_R1_001	92.8	5088378.0
209152_HY5CNBGXT_TCDM_2_B04_X4_32_2_o_AACGCC_S26_R1_001	63.65	28331.0
209153_HY5CNBGXT_TCDM_2_C04_A27_3_1_o_CAAGCA_S27_R1_001	91.24	4801602.0
209154_HY5CNBGXT_TCDM_2_D04_A27_3_3_o_GCTCGA_S28_R1_001	92.57	4750578.0
