cassava protein ID,EC number,Annotated function,transcript ID (Phytozome),EC number (Phytozome) ,Abbreviation,Description,Cassava gene name(s),Function category,Citations,Location,Genes with  related TFBS,Cellular component
005409_005409,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_005409m,2.7.7.27,,Glucose-1-phosphate adenylyltransferase family protein,,Starch synthesis,,,,
005409_005421,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_005421m,2.7.7.27,,Glucose-1-phosphate adenylyltransferase family protein,,Starch synthesis,,,,
005409_005437,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_005437m,2.7.7.27,,Glucose-1-phosphate adenylyltransferase family protein,,Starch synthesis,,,,
005446_005446,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_005446m,2.7.7.27,,ADP glucose pyrophosphorylase  1,,Starch synthesis,,,,
005507_005507,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_005507m,2.7.7.27,,ADP glucose pyrophosphorylase large subunit 1,,Starch synthesis,,,,
005518_005518,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_005518m,2.7.7.27,,ADP glucose pyrophosphorylase  1,,Starch synthesis,,,,
005409_006048,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_006048m,,,Glucose-1-phosphate adenylyltransferase family protein,,Starch synthesis,,,,
005409_006360,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_006360m,2.7.7.27,,Glucose-1-phosphate adenylyltransferase family protein,,Starch synthesis,,,,
005507_009160,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_009160m,,,ADP glucose pyrophosphorylase large subunit 1,,Starch synthesis,,,,
021267_021267,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_021267m,,,ADPGLC-PPase large subunit,,Starch synthesis,,,,
028396_028396,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_028396m,2.7.7.27,,ADP glucose pyrophosphorylase large subunit 1,,Starch synthesis,,,,
031078_031078,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_031078m,2.7.7.27,,ADP-glucose pyrophosphorylase small subunit 2,,Starch synthesis,,,,
032653_032653,2.7.7.27,glucose-1-phosphate adenylyltransferase,cassava4.1_032653m,2.7.7.27,,ADPGLC-PPase large subunit,,Starch synthesis,,,,
003947_003947,2.7.7.9,UDP:glucose-1-phosphate uridylyltransferase      ,cassava4.1_003947m,,,UDP-GLUCOSE PYROPHOSPHORYLASE 1,,Starch synthesis,,,,
006973_006965,2.7.7.9,UDP:glucose-1-phosphate uridylyltransferase      ,cassava4.1_006965m,2.7.7.9,,UDP-glucose pyrophosphorylase 2,,Starch synthesis,,,,
006973_006973,2.7.7.9,UDP:glucose-1-phosphate uridylyltransferase      ,cassava4.1_006973m,2.7.7.9,,UDP-glucose pyrophosphorylase 2,,Starch synthesis,,,,
006979_006979,2.7.7.9,UDP:glucose-1-phosphate uridylyltransferase      ,cassava4.1_006979m,2.7.7.9,,UDP-glucose pyrophosphorylase 2,,Starch synthesis,,,,
008177_008177,3.1.3.24,sucrose-phosphate phosphatase  ,cassava4.1_008177m,,,Sucrose-6F-phosphate phosphohydrolase family protein,,Starch synthesis,,,,
008254_008254,3.1.3.24,sucrose-phosphate phosphatase  ,cassava4.1_008254m,,,Sucrose-6F-phosphate phosphohydrolase family protein,,Starch synthesis,,,,
008177_009570,3.1.3.24,sucrose-phosphate phosphatase  ,cassava4.1_009570m,,,Sucrose-6F-phosphate phosphohydrolase family protein,,Starch synthesis,,,,
001362_001362,3.2.1.1,alpha-amylase,cassava4.1_001362m,,,alpha-amylase-like 3,,Starch synthesis,,,,
001362_001555,3.2.1.1,alpha-amylase,cassava4.1_001555m,,,alpha-amylase-like 3,,Starch synthesis,,,,
008126_008126,3.2.1.1,alpha-amylase,cassava4.1_008126m,,,alpha-amylase-like,,Starch synthesis,,,,
008351_008351,3.2.1.1,alpha-amylase,cassava4.1_008351m,3.2.1.1,,alpha-amylase-like,,Starch synthesis,,,,
008754_008754,3.2.1.1,alpha-amylase,cassava4.1_008754m,,,alpha-amylase-like 2,,Starch synthesis,,,,
008754_008802,3.2.1.1,alpha-amylase,cassava4.1_008802m,,,alpha-amylase-like 2,,Starch synthesis,,,,
023754_023754,3.2.1.1,alpha-amylase,cassava4.1_023754m,3.2.1.1,,alpha-amylase-like,,Starch synthesis,,,,
025145_025145,3.2.1.1,alpha-amylase,cassava4.1_025145m,,,alpha-amylase-like 3,,Starch synthesis,,,,
028069_028069,3.2.1.1,alpha-amylase,cassava4.1_028069m,,,alpha-amylase-like,,Starch synthesis,,,,
002728_002728,3.2.1.2,beta-amylase,cassava4.1_002728m,,,beta-amylase 7,,Starch synthesis,,,,
004325_004325,3.2.1.2,beta-amylase,cassava4.1_004325m,,,beta-amylase 1,,Starch synthesis,,,,
004345_004345,3.2.1.2,beta-amylase,cassava4.1_004345m,,,beta-amylase 1,,Starch synthesis,,,,
005239_005239,3.2.1.2,beta-amylase,cassava4.1_005239m,,,beta-amylase 3,,Starch synthesis,,,,
005532_005532,3.2.1.2,beta-amylase,cassava4.1_005532m,,,beta-amylase 4,,Starch synthesis,,,,
005562_005562,3.2.1.2,beta-amylase,cassava4.1_005562m,,,beta-amylase 5,,Starch synthesis,,,,
004325_007768,3.2.1.2,beta-amylase,cassava4.1_007768m,,,beta-amylase 1,,Starch synthesis,,,,
022883_022883,3.2.1.2,beta-amylase,cassava4.1_022883m,,,beta-amylase 2,,Starch synthesis,,,,
034006_034006,3.2.1.2,beta-amylase,cassava4.1_034006m,,,chloroplast beta-amylase,,Starch synthesis,,,,
034364_034364,3.2.1.2,beta-amylase,cassava4.1_034364m,,,chloroplast beta-amylase,,Starch synthesis,,,,
022477_022477,3.2.1.20,alpha-glucosidase,cassava4.1_022477m,3.2.1.20,,Glycosyl hydrolases family 31  protein,,Starch synthesis,,,,
002913_002913,3.2.1.26,invertase,cassava4.1_002913m,,,Plant neutral invertase family protein,,Starch synthesis,,,,
002971_002971,3.2.1.26,invertase,cassava4.1_002971m,,,Plant neutral invertase family protein,,Starch synthesis,,,,
003155_003155,3.2.1.26,invertase,cassava4.1_003155m,,,alkaline/neutral invertase,,Starch synthesis,,,,
003183_003183,3.2.1.26,invertase,cassava4.1_003183m,3.2.1.26,,Glycosyl hydrolases family 32 protein,,Starch synthesis,,,,
003482_003482,3.2.1.26,invertase,cassava4.1_003482m,,,Glycosyl hydrolases family 32 protein,,Starch synthesis,,,,
003659_003659,3.2.1.26,invertase,cassava4.1_003659m,,,alkaline/neutral invertase,,Starch synthesis,,,,
004474_004474,3.2.1.26,invertase,cassava4.1_004474m,,,Plant neutral invertase family protein,,Starch synthesis,,,,
004485_004482,3.2.1.26,invertase,cassava4.1_004482m,3.2.1.26,,Glycosyl hydrolases family 32 protein,,Starch synthesis,,,,
004485_004485,3.2.1.26,invertase,cassava4.1_004485m,3.2.1.26,,Glycosyl hydrolases family 32 protein,,Starch synthesis,,,,
004633_004633,3.2.1.26,invertase,cassava4.1_004633m,,,Plant neutral invertase family protein,,Starch synthesis,,,,
004675_004675,3.2.1.26,invertase,cassava4.1_004675m,,,Glycosyl hydrolases family 32 protein,,Starch synthesis,,,,
004783_004783,3.2.1.26,invertase,cassava4.1_004783m,,,cytosolic invertase 2,,Starch synthesis,,,,
005201_005201,3.2.1.26,invertase,cassava4.1_005201m,,,cytosolic invertase 2,,Starch synthesis,,,,
021105_021105,3.2.1.26,invertase,cassava4.1_021105m,3.2.1.26,,cell wall invertase 2,,Starch synthesis,,,,
021277_021277,3.2.1.26,invertase,cassava4.1_021277m,,,Plant neutral invertase family protein,,Starch synthesis,,,,
021472_021472,3.2.1.26,invertase,cassava4.1_021472m,,,Glycosyl hydrolases family 32 protein,,Starch synthesis,,,,
021742_021742,3.2.1.26,invertase,cassava4.1_021742m,3.2.1.26,,cell wall invertase 2,,Starch synthesis,,,,
025414_025414,3.2.1.26,invertase,cassava4.1_025414m,3.2.1.26,,cell wall invertase 2,,Starch synthesis,,,,
034059_034059,3.2.1.26,invertase,cassava4.1_034059m,3.2.1.26,,Glycosyl hydrolases family 32 protein,,Starch synthesis,,,,
004771_004771,3.2.1.41,pullulanase,cassava4.1_004771m,,,limit dextrinase,,Starch synthesis,,,,
024672_024672,3.2.1.41,pullulanase,cassava4.1_024672m,,,limit dextrinase,,Starch synthesis,,,,
001414_001414,3.2.1.68,starch debranching enzyme,cassava4.1_001414m,,,debranching enzyme 1,,Starch synthesis,,,,
001932_001932,3.2.1.68,starch debranching enzyme,cassava4.1_001932m,3.2.1.-,,isoamylase 1,,Starch synthesis,,,,
004581_004581,5.3.1.9,glucose-6-phosphate isomerase,cassava4.1_004581m,5.3.1.9,,Sugar isomerase (SIS) family protein,,Starch synthesis,,,,
006414_006414,5.3.1.9,glucose-6-phosphate isomerase,cassava4.1_006414m,,,phosphoglucose isomerase 1,,Starch synthesis,,,,
014581_014581,5.3.1.9,glucose-6-phosphate isomerase,cassava4.1_014581m,,,Acyl-CoA N-acyltransferases (NAT) superfamily protein,,Starch synthesis,,,,
024053_024053,5.3.1.9,glucose-6-phosphate isomerase,cassava4.1_024053m,,,Sugar isomerase (SIS) family protein,,Starch synthesis,,,,
031246_031246,5.3.1.9,glucose-6-phosphate isomerase,cassava4.1_031246m,5.3.1.9,,phosphoglucose isomerase 1,,Starch synthesis,,,,
003452_003452,5.4.2.2,phosphoglucomutase,cassava4.1_003452m,5.4.2.2,,phosphoglucomutase,,Starch synthesis,,,,
003471_003471,5.4.2.2,phosphoglucomutase,cassava4.1_003471m,5.4.2.2,,phosphoglucomutase,,Starch synthesis,,,,
003733_003733,5.4.2.2,phosphoglucomutase,cassava4.1_003733m,,,"phosphoglucomutase, putative / glucose phosphomutase, putative",,Starch synthesis,,,,
003792_003792,5.4.2.2,phosphoglucomutase,cassava4.1_003792m,,,phosphoglucosamine mutase family protein,,Starch synthesis,,,,
004332_004332,5.4.2.2,phosphoglucomutase,cassava4.1_004332m,5.4.2.2,,Phosphoglucomutase/phosphomannomutase family protein,,Starch synthesis,,,,
004336_004336,5.4.2.2,phosphoglucomutase,cassava4.1_004336m,5.4.2.2,,Phosphoglucomutase/phosphomannomutase family protein,,Starch synthesis,,,,
003792_005009,5.4.2.2,phosphoglucomutase,cassava4.1_005009m,,,phosphoglucosamine mutase family protein,,Starch synthesis,,,,
