tube_number,sample_ID,sample_weight_g,date_extracted,technician,note
228,413_C14_rt3_o,0.213,8/15/24,SV,
229,415_X5_66_rt1_i,0.212,7/8/24,SV,
230,415_X5_66_rt1_o,0.238,7/8/24,KG,not well ground but weighed out some
231,415_X5_66_rt2_i,0.196,7/8/24,KG,
232,415_X5_66_rt2_o,0.221,7/8/24,SV,
233,415_X5_66_rt3_i,0.087,7/8/24,KG,
234,415_X5_66_rt3_o,0.178,7/8/24,KG,
235,416_X4_67_rt1_i,0.204,7/8/24,SV,
236,416_X4_67_rt1_o,0.185,7/8/24,SV,
237,416_X4_67_rt2_i,0.222,7/8/24,SV,
238,416_X4_67_rt2_o,0.245,7/8/24,KG,
239,416_X4_67_rt3_i,0.247,7/8/24,SV,
240,416_X4_67_rt3_o,0.245,7/8/24,SV,
241,104_X5_36_rt1_i,0.244,8/7/24,SV,
242,104_X5_36_rt1_o,0.213,7/11/24,KG,
243,104_X5_36_rt2_i,0.241,8/15/24,SV,
244,104_X5_36_rt2_o,0.263,7/16/24,SV,
245,104_X5_36_rt3_i,0.248,8/7/24,SV,
246,104_X5_36_rt3_o,0.149,7/8/24,KG,
247,115_X1_54_rt1_i,0.24,8/7/24,SV,
248,115_X1_54_rt1_o,0.249,8/7/24,SV,
249,115_X1_54_rt2_i,0.255,8/7/24,SV,
250,115_X1_54_rt2_o,0.253,8/7/24,SV,
251,115_X1_54_rt3_i,0.255,8/15/24,SV,
252,115_X1_54_rt3_o,0.248,8/7/24,SV,
253,117_A20_rt1_i,0.242,8/7/24,SV,
254,117_A20_rt1_o,0.248,8/7/24,SV,
255,117_A20_rt2_i,0.251,8/7/24,SV,
256,117_A20_rt2_o,0.287,7/11/24,KG,
257,117_A20_rt3_i,0.244,8/7/24,SV,
258,117_A20_rt3_o,0.25,8/7/24,SV,
259,119_X11_57_rt1_i,0.251,8/15/24,SV,
260,119_X11_57_rt1_o,0.249,8/7/24,SV,
261,119_X11_57_rt2_i,0.24,8/7/24,SV,
262,119_X11_57_rt2_o,0.248,8/7/24,SV,
263,119_X11_57_rt3_i,0.251,8/7/24,SV,
264,119_X11_57_rt3_o,0.256,8/7/24,SV,
265,120_X5_31_rt1_i,0.252,8/15/24,SV,
266,120_X5_31_rt1_o,0.249,8/7/24,SV,
267,120_X5_31_rt2_i,0.258,8/7/24,SV,
268,120_X5_31_rt2_o,0.256,8/7/24,SV,
269,120_X5_31_rt3_i,0.259,8/7/24,SV,
270,120_X5_31_rt3_o,0.249,8/7/24,SV,
271,202_X4_67_rt1_i,0.256,8/15/24,SV,
272,202_X4_67_rt1_o,0.259,8/7/24,SV,
273,202_X4_67_rt2_i,0.251,8/7/24,SV,
274,202_X4_67_rt2_o,0.251,7/11/24,SV,
275,202_X4_67_rt3_i,0.098,8/7/24,SV,little sample left
276,202_X4_67_rt3_o,0.251,8/7/24,SV,
277,211_C14_rt1_i,0.203,7/16/24,SV,
278,211_C14_rt1_o,0.198,7/16/24,SV,
279,211_C14_rt2_i,0.256,6/20/24,KG,
280,211_C14_rt2_o,0.246,6/20/24,KG,
281,211_C14_rt3_i,0.248,6/13/24,SV,
282,211_C14_rt3_o,0.212,7/16/24,SV,
283,212_X8_37_rt1_i,0.253,6/13/24,SV,
284,212_X8_37_rt1_o,0.238,7/16/24,SV,
285,212_X8_37_rt2_i,0.251,6/13/24,SV,
286,212_X8_37_rt2_o,0.255,6/20/24,KG,
287,212_X8_37_rt3_i,0.243,8/7/24,SV,
288,212_X8_37_rt3_o,0.245,6/13/24,SV,
289,213_X4_42_rt1_i,0.245,6/13/24,SV,
290,213_X4_42_rt1_o,0.244,6/20/24,SV,
291,213_X4_42_rt2_i,0.25,8/15/24,SV,
292,213_X4_42_rt2_o,0.24,8/7/24,SV,
293,213_X4_42_rt3_i,0.243,8/7/24,SV,
294,213_X4_42_rt3_o,0.25,6/13/24,SV,slight yellow color visible in tissue chunk remaining after 4th extraction
295,219_X2_24_rt1_i,0.253,8/15/24,SV,
296,219_X2_24_rt1_o,0.255,8/7/24,SV,
297,219_X2_24_rt2_i,0.258,8/7/24,SV,
298,219_X2_24_rt2_o,0.25,8/7/24,SV,
299,219_X2_24_rt3_i,0.245,8/15/24,SV,
300,219_X2_24_rt3_o,0.254,6/13/24,SV,
301,301_X2_45_rt1_i,0.248,8/7/24,SV,
302,301_X2_45_rt1_o,0.256,6/13/24,SV,
303,301_X2_45_rt2_i,0.246,8/15/24,SV,
304,301_X2_45_rt2_o,0.245,6/13/24,SV,
305,301_X2_45_rt3_i,0.247,8/15/24,SV,
306,301_X2_45_rt3_o,0.248,8/7/24,SV,
307,303_X11_68_rt1_i,0.246,8/7/24,SV,
308,303_X11_68_rt1_o,0.251,8/7/24,SV,
309,303_X11_68_rt2_i,0.253,8/7/24,SV,
310,303_X11_68_rt2_o,0.256,6/13/24,SV,
311,303_X11_68_rt3_i,0.247,8/7/24,SV,
312,303_X11_68_rt3_o,0.256,8/7/24,SV,
313,307_X4_32_rt1_i,0.191,8/15/24,SV,
314,307_X4_32_rt1_o,0.254,8/15/24,SV,
315,307_X4_32_rt2_i,0.186,8/15/24,SV,
316,307_X4_32_rt2_o,0.272,8/15/24,SV,
317,307_X4_32_rt3_i,0.166,8/15/24,SV,
