Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
3_C09_106_X4_46_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	84.18407137199067	39.0	98.00466292043635	97	27.27272727272727	14353451.0
3_C09_106_X4_46_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	38.345614737150335	40.0	107.49846862611646	112	27.27272727272727	14353451.0
3_C10_118_C14_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	85.0166243000409	39.0	95.59947598127297	97	27.27272727272727	14558640.0
3_C10_118_C14_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	35.70316917660381	40.0	106.47972708989302	112	27.27272727272727	14558640.0
3_C11_210_X11_68_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	89.52271392030832	37.0	114.56628760901948	127	18.181818181818183	26537916.0
3_C11_210_X11_68_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	30.969047530776592	38.0	118.33149762023514	132	18.181818181818183	26537916.0
3_C12_220_X10_39_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	86.22323374427198	38.0	96.21310537228804	97	27.27272727272727	19096947.0
3_C12_220_X10_39_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	36.65150324981797	39.0	106.87736458607756	112	18.181818181818183	19096947.0
3_D01_320_X2_24_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	25.34753031647442	38.0	109.42901508429459	117	18.181818181818183	13524.0
3_D01_320_X2_24_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	6.004140786749474	38.0	115.5818544809228	127	36.36363636363637	13524.0
3_D02_313_X1_54_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	68.43484400350663	41.0	94.8102931854993	97	36.36363636363637	1298393.0
3_D02_313_X1_54_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	30.159638467971916	42.0	105.02123856182219	107	36.36363636363637	1298393.0
3_D03_115_X1_54_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	88.92273331189755	38.0	107.86732236808045	112	27.27272727272727	29012494.0
