Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3_H08_105_X5_66_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	3_H08_105_X5_66_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21233798.0	2.3 Gbp	0.0	18-151	38.0	73.38970519713722	109.42755648330082	117	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
3_H09_112_X4_67_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_H09_112_X4_67_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30557476.0	3.4 Gbp	0.0	18-139	37.0	11.930711776552265	113.68335009082557	127	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
3_H09_112_X4_67_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_H09_112_X4_67_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30557476.0	3.6 Gbp	0.0	18-151	38.0	77.49145342121284	118.45957123553005	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
3_H10_205_X1_54_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	3_H10_205_X1_54_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	824458.0	71.1 Mbp	0.0	18-139	39.0	41.63719300018721	86.10593383774552	87	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
3_H10_205_X1_54_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	3_H10_205_X1_54_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	824458.0	79.8 Mbp	0.0	18-151	40.0	69.19232250768611	96.81285523337756	97	pass	warn	fail	pass	fail	fail	pass	warn	warn	warn	pass
3_H11_218_X8_415_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_H11_218_X8_415_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16687898.0	1.4 Gbp	0.0	18-139	41.0	14.705260629830208	86.36168323895556	87	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
3_H11_218_X8_415_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_H11_218_X8_415_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16687898.0	1.6 Gbp	0.0	18-151	41.0	64.86152946494434	101.05804020374525	107	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
3_H12_304_X5_31_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_H12_304_X5_31_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22335806.0	2.4 Gbp	0.0	18-139	36.0	11.698771018529287	110.80826866064291	122	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
3_H12_304_X5_31_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_H12_304_X5_31_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22335806.0	2.5 Gbp	0.0	18-151	37.0	76.83756348974548	113.79336913116097	127	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_A01_304_X5_31_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_A01_304_X5_31_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4785075.0	484.7 Mbp	0.0	18-139	36.0	36.6645116205884	100.65763441534354	112	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
4_A01_304_X5_31_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_A01_304_X5_31_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4785075.0	499.6 Mbp	0.0	18-151	37.0	75.81375797134707	104.39115248977289	117	pass	warn	fail	pass	fail	fail	pass	warn	pass	warn	pass
4_A02_319_X8_37_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	4_A02_319_X8_37_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10442957.0	1.1 Gbp	0.0	18-139	37.0	22.05826626707001	111.01680098845567	127	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
4_A02_319_X8_37_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	4_A02_319_X8_37_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10442957.0	1.1 Gbp	0.0	18-151	37.0	71.4395443181581	112.07223519162245	127	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_A03_407_X2_24_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_A03_407_X2_24_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13092842.0	1.4 Gbp	0.0	18-139	36.0	23.436931555064298	109.44559813675289	122	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
4_A03_407_X2_24_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_A03_407_X2_24_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13092842.0	1.4 Gbp	0.0	18-151	36.0	73.35374358478659	112.09668076648293	127	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_A04_317_X4_42_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_A04_317_X4_42_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12556351.0	1.4 Gbp	0.0	18-139	36.0	19.68632663084092	116.75621778970658	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
