Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
209097_HY55YBGXT_TCDM_1_C09_A20_2_3_o_TCGTTC_S67_R1_001										12.80090410437285	4.951215126311788	11.33464267738945	4.710415497777631	6.505365574353961	1.8568979484930728	0.0
209098_HY55YBGXT_TCDM_1_D09_A03_2_1_o_CCAATT_S68_R1_001										11.850083955185665	3.832413777662172	7.647606747947698	2.546082375945541	4.694006378417194	1.649908150229756	0.14195656255034364
209099_HY55YBGXT_TCDM_1_E09_C17_2_3_o_AGTTGA_S69_R1_001										12.580508010025648	3.963720008752767	7.644368279142104	2.802337781680147	3.6518728226533077	1.2845151376424109	0.3593485770942289
209100_HY55YBGXT_TCDM_1_F09_A03_2_1_i_AACCGA_S70_R1_001										11.485902483558608	3.7764461256254225	6.23258015831368	2.148390710510692	3.1796959082134797	0.7706184070310091	0.0
209101_HY55YBGXT_TCDM_1_G09_C14_2_1_i_CAGATG_S71_R1_001										11.814847884586435	3.792452647075597	6.788428429321125	2.409427027444434	3.006396089964403	1.2217693251684403	0.17262548554662346
209102_HY55YBGXT_TCDM_1_H09_A20_2_2_i_GTAGAA_S72_R1_001										11.78582681652168	4.002096569188448	8.013758440890822	2.7148197135942893	4.019760707974669	1.4798977677845593	0.5616389925688169
209103_HY55YBGXT_TCDM_1_A10_A20_2_1_o_GACATC_S73_R1_001										12.287599370923937	3.878257450382715	6.995843142136987	2.509814364339158	2.909773792932564	1.013682314779138	0.2921105290363461
209104_HY55YBGXT_TCDM_1_B10_C14_2_2_o_CGATCT_S74_R1_001										10.880905589621575	3.4561135732323223	6.993320058616903	2.007201697604218	3.480866421815039	1.5376995310272297	0.0
209105_HY55YBGXT_TCDM_1_C10_A04_2_3_o_CGTCGC_S75_R1_001										8.63002255564486	3.025085937614463	5.00257369353804	0.7522934799458745	3.3998662525877377	0.0	0.0
209106_HY55YBGXT_TCDM_1_D10_A04_2_1_o_ATGGCG_S76_R1_001										6.976173385116412	2.140610465742891	3.6433801270427844	0.8144291058243427	0.40592793505146946	0.0	0.0
209107_HY55YBGXT_TCDM_1_E10_A04_2_1_i_ATTGGT_S77_R1_001										7.724138778508613	2.165806295766344	3.1557431752297105	1.5775812494873729	0.8008686908469467	0.0	0.0
209108_HY55YBGXT_TCDM_1_F10_A04_2_3_i_GCCACA_S78_R1_001										9.218066722520366	3.1537624894955325	6.037262540328928	1.0978590183125538	3.766743468531006	0.23571263706504852	0.0
209109_HY55YBGXT_TCDM_1_G10_A20_2_1_i_CATCTA_S79_R1_001										12.316405005446828	4.223989076045954	7.507834853945799	2.9361838656120813	3.4105745428798406	0.9792418672115006	0.3430437491440542
209110_HY55YBGXT_TCDM_1_H10_A04_2_2_o_AACAAG_S80_R1_001										10.416991816015567	3.677316702098856	7.450718077265068	2.9581520530236576	4.699529177299544	2.314110536352388	0.6348502785257318
