Sample	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_trim1	4389.0	4520.0	4564.0	4236.0	4473.0	5148.0	5681.0	5515.0	5849.0	6445.0	7463.0	8898.0	9979.0	10120.0	9251.0	10069.0	10641.0	13024.0	13598.0	14402.0	14128.0	13451.0	14815.0	16097.0	12509.0	12860.0	12792.0	13224.0	13091.0	12243.0	14025.0	22319.0	136302.0	258726.0
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_trim1	1608.0	1891.0	1592.0	1412.0	1328.0	1461.0	1301.0	1150.0	1123.0	1246.0	1696.0	1605.0	1831.0	2014.0	1273.0	1360.0	1577.0	1967.0	1350.0	1707.0	1867.0	1539.0	1398.0	1244.0	827.0	825.0	900.0	1044.0	1149.0	1012.0	960.0	1419.0	7402.0	12690.0
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_trim1	8027.0	8880.0	8885.0	9281.0	10795.0	12987.0	15275.0	16553.0	17879.0	19718.0	21182.0	26601.0	31610.0	33944.0	38198.0	44367.0	50643.0	59415.0	68958.0	78302.0	79487.0	79063.0	97176.0	119553.0	106063.0	117031.0	110288.0	115036.0	107332.0	121447.0	157097.0	297539.0	1092317.0	2996409.0
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_trim1	254.0	188.0	144.0	158.0	152.0	140.0	154.0	139.0	148.0	147.0	205.0	201.0	193.0	175.0	187.0	203.0	238.0	240.0	271.0	292.0	307.0	305.0	278.0	341.0	300.0	323.0	265.0	287.0	298.0	313.0	379.0	631.0	4240.0	6104.0
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_trim1	10710.0	11631.0	10465.0	10744.0	12747.0	15883.0	17426.0	17921.0	17313.0	19241.0	22457.0	27411.0	31189.0	30628.0	31276.0	34821.0	38064.0	44365.0	50119.0	50964.0	51308.0	48537.0	56371.0	64886.0	53490.0	57437.0	56025.0	56917.0	54237.0	53225.0	66555.0	112674.0	695832.0	1291493.0
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_trim1	569.0	583.0	527.0	514.0	474.0	536.0	522.0	441.0	427.0	453.0	602.0	596.0	683.0	623.0	499.0	552.0	570.0	786.0	646.0	758.0	747.0	584.0	605.0	583.0	472.0	520.0	461.0	559.0	593.0	539.0	560.0	770.0	4621.0	7922.0
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_trim1	79.0	75.0	77.0	90.0	65.0	92.0	98.0	112.0	112.0	121.0	122.0	135.0	152.0	178.0	165.0	205.0	232.0	214.0	219.0	268.0	264.0	284.0	296.0	340.0	301.0	317.0	305.0	333.0	312.0	380.0	525.0	818.0	2429.0	3944.0
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_trim1	38.0	34.0	42.0	29.0	26.0	22.0	36.0	40.0	48.0	61.0	56.0	62.0	79.0	64.0	67.0	95.0	86.0	92.0	101.0	126.0	107.0	89.0	136.0	155.0	129.0	149.0	131.0	171.0	187.0	194.0	226.0	313.0	954.0	2153.0
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_trim1	230.0	255.0	242.0	195.0	175.0	188.0	191.0	170.0	180.0	169.0	249.0	223.0	242.0	246.0	210.0	211.0	227.0	292.0	268.0	280.0	291.0	269.0	316.0	310.0	291.0	271.0	279.0	332.0	318.0	376.0	405.0	629.0	2550.0	4469.0
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_trim1	11053.0	12780.0	11622.0	11339.0	12598.0	16167.0	18035.0	18202.0	16883.0	18918.0	22118.0	31153.0	36698.0	33544.0	34498.0	38980.0	43488.0	52223.0	56503.0	63648.0	64325.0	60957.0	72119.0	84305.0	71195.0	80810.0	71974.0	72619.0	68921.0	72688.0	93459.0	171520.0	1069317.0	2058051.0
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_trim1	11405.0	11774.0	12129.0	12694.0	14625.0	16885.0	18980.0	19559.0	20376.0	22106.0	23987.0	29856.0	33463.0	33723.0	35923.0	38546.0	42673.0	47390.0	52300.0	57304.0	54346.0	50951.0	58766.0	66227.0	54652.0	57742.0	53035.0	53355.0	48612.0	49956.0	56543.0	79555.0	323633.0	691608.0
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_trim1	15332.0	16156.0	16083.0	17040.0	19492.0	21068.0	24469.0	24189.0	24977.0	27151.0	29225.0	34724.0	39661.0	40528.0	42155.0	45167.0	48525.0	53471.0	60506.0	66508.0	64302.0	61509.0	70318.0	80070.0	67230.0	73190.0	69013.0	69369.0	62595.0	64128.0	74252.0	110273.0	414068.0	909347.0
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_trim1	4032.0	4144.0	4464.0	4519.0	4947.0	6048.0	7021.0	8538.0	10278.0	11966.0	14158.0	17790.0	21883.0	23804.0	28461.0	32975.0	39271.0	44068.0	52170.0	57865.0	60765.0	62821.0	78848.0	108760.0	105123.0	109829.0	114362.0	125444.0	120980.0	133322.0	202094.0	404733.0	1232724.0	4465844.0
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_trim1	7546.0	7594.0	7600.0	7857.0	8469.0	9902.0	12106.0	13638.0	16210.0	19077.0	21294.0	26319.0	31195.0	33061.0	38465.0	43679.0	51799.0	55960.0	63747.0	68558.0	68704.0	68818.0	83638.0	108582.0	100872.0	104115.0	105514.0	113105.0	107960.0	112721.0	152886.0	253119.0	717133.0	2317924.0
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_trim1	3692.0	3757.0	3712.0	4044.0	4601.0	5364.0	6444.0	7314.0	8516.0	10441.0	12087.0	14933.0	17899.0	19997.0	23477.0	27661.0	33363.0	36577.0	42653.0	47774.0	50173.0	51701.0	63722.0	81983.0	79045.0	87953.0	94843.0	103595.0	98588.0	103049.0	158336.0	352493.0	1135832.0	4219786.0
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_trim1	3776.0	3711.0	3528.0	3530.0	3431.0	4002.0	4333.0	4721.0	5465.0	6096.0	7090.0	8707.0	10116.0	10202.0	11187.0	12388.0	14240.0	15244.0	17273.0	18153.0	17183.0	17242.0	20967.0	25691.0	23170.0	22737.0	22808.0	23629.0	23388.0	23251.0	29483.0	43838.0	152647.0	410848.0
