Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_trim1	2.8991873490006554	34.0	72.65070649388682	82	9.090909090909092	13659.0
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_trim1	4.112416640203236	42.0	73.57796125754207	82	18.181818181818183	6298.0
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_trim1	12.901151199434054	46.0	68.90513859412181	80	36.36363636363637	15549.0
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_trim1	57.870315753973436	48.0	77.78480581932112	84	9.090909090909092	4672710.0
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_trim1	43.91939924683258	46.0	71.03791093987215	80	0.0	2254679.0
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_trim1	41.20458631927345	45.0	71.55286858857089	82	0.0	2856091.0
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_trim1	55.78161077098589	38.0	81.28130070606733	86	27.27272727272727	7724051.0
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_trim1	55.418005590591704	40.0	77.86138801133336	84	27.27272727272727	4959167.0
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_trim1	51.08005833692402	38.0	81.6974843220028	86	27.27272727272727	7015405.0
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_trim1	44.03093359079704	42.0	75.16659619656764	84	18.181818181818183	1024075.0
209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_trim1	55.449571651937354	38.0	81.05542531898767	86	27.27272727272727	6407144.0
209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30_trim1	62.471443348774756	38.0	82.83461556762585	86	18.181818181818183	8469461.0
209061_HY55YBGXT_TCDM_1_G04_X4_67_2_i_ACCTAC_S31_trim1	59.145150994387166	39.0	83.09576803847274	86	27.27272727272727	7430715.0
209062_HY55YBGXT_TCDM_1_H04_X4_67_1_i_CGAAGG_S32_trim1	56.1551810764633	39.0	82.65486502808946	86	18.181818181818183	9752770.0
209063_HY55YBGXT_TCDM_1_A05_C64_1_2_i_AGATAG_S33_trim1	56.90115079761943	47.0	75.32998942562874	84	9.090909090909092	4127905.0
209064_HY55YBGXT_TCDM_1_B05_C64_1_1_o_TTGGTA_S34_trim1	51.06625624194917	42.0	78.16937295706646	84	18.181818181818183	6696559.0
209065_HY55YBGXT_TCDM_1_C05_X5_31_3_i_GTTACC_S35_trim1	56.59087440697165	46.0	78.66220899343249	84	18.181818181818183	4756293.0
209066_HY55YBGXT_TCDM_1_D05_X4_67_3_o_CGCAAC_S36_trim1	38.48003028907214	50.0	71.17070999181027	84	9.090909090909092	294271.0
209067_HY55YBGXT_TCDM_1_E05_X5_31_2_i_TGGCGA_S37_trim1	57.85094879873671	45.0	81.10705991122443	86	27.27272727272727	6915866.0
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_trim1	7.4345264448455595	45.0	75.00303102544018	84	9.090909090909092	29363.0
209069_HY55YBGXT_TCDM_1_G05_A20_1_1_o_CAACAG_S39_trim1	37.84411958139934	48.0	71.6757383542062	84	9.090909090909092	726142.0
209070_HY55YBGXT_TCDM_1_H05_C17_1_3_o_GATTGT_S40_trim1	62.19298091699017	46.0	76.25967356873741	84	18.181818181818183	8289831.0
209071_HY55YBGXT_TCDM_1_A06_A20_1_1_i_CTCTCG_S41_trim1	53.06483262327211	45.0	78.20226708764007	84	18.181818181818183	6814999.0
209072_HY55YBGXT_TCDM_1_B06_A20_1_2_o_TGACAC_S42_trim1	32.66208185589666	45.0	69.70167522212216	80	0.0	615202.0
209073_HY55YBGXT_TCDM_1_C06_X5_31_1_o_AAGACA_S43_trim1	11.124355436425631	33.0	67.72867046113731	74	9.090909090909092	174113.0
209074_HY55YBGXT_TCDM_1_D06_X4_67_1_o_ACAGAT_S44_trim1	31.65972417430949	46.0	68.18178187349861	80	9.090909090909092	170259.0
209075_HY55YBGXT_TCDM_1_E06_A27_1_2_o_TAGGCT_S45_trim1	45.084945281999545	50.0	70.33138347570157	84	9.090909090909092	570469.0
209076_HY55YBGXT_TCDM_1_F06_X5_31_3_o_CTCCAT_S46_trim1	28.272953650895644	48.0	67.03629207165234	78	18.181818181818183	124490.0
209077_HY55YBGXT_TCDM_1_G06_X5_31_2_o_GCATGG_S47_trim1	31.178280753033604	49.0	66.59580678114511	76	9.090909090909092	164456.0
209078_HY55YBGXT_TCDM_1_H06_C64_1_3_i_AATAGC_S48_trim1	50.49457932310307	44.0	73.44023719216875	82	18.181818181818183	7730778.0
209079_HY55YBGXT_TCDM_1_A07_A20_1_2_i_GTGCCA_S49_trim1	48.374159376864526	42.0	74.51689362289211	84	0.0	6661123.0
209080_HY55YBGXT_TCDM_1_B07_A20_1_3_i_TCGAGG_S50_trim1	49.70118293993888	42.0	78.52539206579765	84	9.090909090909092	7218495.0
209081_HY55YBGXT_TCDM_1_C07_A20_1_3_o_CACTAA_S51_trim1	47.85589027159314	40.0	76.32281098358523	84	9.090909090909092	6771523.0
209082_HY55YBGXT_TCDM_1_D07_A27_1_3_o_GGTATA_S52_trim1	46.1585671114165	41.0	77.69071270377422	84	9.090909090909092	7470032.0
209083_HY55YBGXT_TCDM_1_E07_A27_1_1_o_CGCCTG_S53_trim1	52.74812807389279	44.0	77.38848939600722	84	18.181818181818183	6527164.0
209084_HY55YBGXT_TCDM_1_F07_X5_31_1_i_AATGAA_S54_trim1	51.00418159936924	44.0	76.21647961599052	84	18.181818181818183	6911496.0
209085_HY55YBGXT_TCDM_1_G07_X11_57_1_i_ACAACG_S55_trim1	51.673560208121565	43.0	76.767705387772	84	18.181818181818183	6901981.0
209086_HY55YBGXT_TCDM_1_H07_X2_45_2_i_ATATCC_S56_trim1	49.726535425061705	42.0	74.27692949123885	84	9.090909090909092	6231254.0
209087_HY55YBGXT_TCDM_1_A08_X2_45_2_o_AGTACT_S57_trim1	50.17557414314736	44.0	77.37675147431017	84	18.181818181818183	7780588.0
209088_HY55YBGXT_TCDM_1_B08_X2_45_1_i_ATAAGA_S58_trim1	52.56674571315785	40.0	77.2432679430151	84	18.181818181818183	8108183.0
209089_HY55YBGXT_TCDM_1_C08_X2_45_3_o_GGTGAG_S59_trim1	48.868384689542744	41.0	76.31609308982718	84	9.090909090909092	7665843.0
209090_HY55YBGXT_TCDM_1_D08_X2_45_3_i_TTCCGC_S60_trim1	53.00601246973413	39.0	78.11210716578358	86	18.181818181818183	8468076.0
209091_HY55YBGXT_TCDM_1_E08_X2_45_1_o_GAAGTG_S61_trim1	8.802031714568884	43.0	72.53790882061448	84	18.181818181818183	16144.0
209092_HY55YBGXT_TCDM_1_F08_X11_68_1_o_CAATGC_S62_trim1	11.48054779587109	42.0	67.64972405805001	80	18.181818181818183	29354.0
209093_HY55YBGXT_TCDM_1_G08_X11_68_1_i_ACGTCT_S63_trim1	51.92169317489991	43.0	75.79112467991918	84	18.181818181818183	6759621.0
209094_HY55YBGXT_TCDM_1_H08_X11_68_3_i_CAGGAC_S64_trim1	51.984036887129726	43.0	75.86620890845519	84	18.181818181818183	6483481.0
209095_HY55YBGXT_TCDM_1_A09_X11_68_3_o_AAGCTC_S65_trim1	52.97350367834851	46.0	73.54736521206272	84	9.090909090909092	4546438.0
209096_HY55YBGXT_TCDM_1_B09_X11_68_2_o_GACGAT_S66_trim1	50.527726443825856	40.0	81.63469211531023	86	18.181818181818183	7774193.0
209097_HY55YBGXT_TCDM_1_C09_A20_2_3_o_TCGTTC_S67_trim1	56.89149725121078	51.0	71.79852622909164	84	36.36363636363637	684774.0
209098_HY55YBGXT_TCDM_1_D09_A03_2_1_o_CCAATT_S68_trim1	49.79212746119448	44.0	78.88946032232101	84	9.090909090909092	7249605.0
209099_HY55YBGXT_TCDM_1_E09_C17_2_3_o_AGTTGA_S69_trim1	52.76169961153087	43.0	74.42370612510152	84	18.181818181818183	5736509.0
209100_HY55YBGXT_TCDM_1_F09_A03_2_1_i_AACCGA_S70_trim1	46.22931189783404	42.0	77.06723606536272	84	9.090909090909092	7223995.0
209101_HY55YBGXT_TCDM_1_G09_C14_2_1_i_CAGATG_S71_trim1	48.16560735045774	42.0	74.4334987515685	84	9.090909090909092	6286288.0
209102_HY55YBGXT_TCDM_1_H09_A20_2_2_i_GTAGAA_S72_trim1	51.59006446570066	44.0	73.9750178297287	82	18.181818181818183	5936714.0
209103_HY55YBGXT_TCDM_1_A10_A20_2_1_o_GACATC_S73_trim1	49.53477177973271	41.0	76.1581916750942	84	9.090909090909092	7971886.0
209104_HY55YBGXT_TCDM_1_B10_C14_2_2_o_CGATCT_S74_trim1	48.80346813205865	44.0	68.39186860349501	72	9.090909090909092	4411198.0
