Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_trim1	209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6407144.0	521.1 Mbp	0.0	20-86	38.0	44.550428348062646	81.05542531898767	86	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30_trim1	209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8469461.0	703.7 Mbp	0.0	20-86	38.0	37.528556651225244	82.83461556762585	86	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
209061_HY55YBGXT_TCDM_1_G04_X4_67_2_i_ACCTAC_S31_trim1	209061_HY55YBGXT_TCDM_1_G04_X4_67_2_i_ACCTAC_S31_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7430715.0	619.3 Mbp	0.0	20-86	39.0	40.854849005612834	83.09576803847274	86	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
209062_HY55YBGXT_TCDM_1_H04_X4_67_1_i_CGAAGG_S32_trim1	209062_HY55YBGXT_TCDM_1_H04_X4_67_1_i_CGAAGG_S32_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9752770.0	808.7 Mbp	0.0	20-86	39.0	43.8448189235367	82.65486502808946	86	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
209063_HY55YBGXT_TCDM_1_A05_C64_1_2_i_AGATAG_S33_trim1	209063_HY55YBGXT_TCDM_1_A05_C64_1_2_i_AGATAG_S33_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4127905.0	312.5 Mbp	0.0	20-86	47.0	43.09884920238057	75.32998942562874	84	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
209064_HY55YBGXT_TCDM_1_B05_C64_1_1_o_TTGGTA_S34_trim1	209064_HY55YBGXT_TCDM_1_B05_C64_1_1_o_TTGGTA_S34_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6696559.0	525.7 Mbp	0.0	20-86	42.0	48.93374375805083	78.16937295706646	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209065_HY55YBGXT_TCDM_1_C05_X5_31_3_i_GTTACC_S35_trim1	209065_HY55YBGXT_TCDM_1_C05_X5_31_3_i_GTTACC_S35_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4756293.0	375.8 Mbp	0.0	20-86	46.0	43.40912559302835	78.66220899343249	84	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
209066_HY55YBGXT_TCDM_1_D05_X4_67_3_o_CGCAAC_S36_trim1	209066_HY55YBGXT_TCDM_1_D05_X4_67_3_o_CGCAAC_S36_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	294271.0	21 Mbp	0.0	20-86	50.0	61.51996971092786	71.17070999181027	84	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209067_HY55YBGXT_TCDM_1_E05_X5_31_2_i_TGGCGA_S37_trim1	209067_HY55YBGXT_TCDM_1_E05_X5_31_2_i_TGGCGA_S37_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6915866.0	563.3 Mbp	0.0	20-86	45.0	42.14905120126329	81.10705991122443	86	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_trim1	209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29363.0	2.2 Mbp	0.0	20-86	45.0	92.56547355515444	75.00303102544018	84	pass	pass	fail	pass	warn	warn	pass	warn	pass	warn	warn
209069_HY55YBGXT_TCDM_1_G05_A20_1_1_o_CAACAG_S39_trim1	209069_HY55YBGXT_TCDM_1_G05_A20_1_1_o_CAACAG_S39_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	726142.0	52.3 Mbp	0.0	20-86	48.0	62.15588041860066	71.6757383542062	84	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209070_HY55YBGXT_TCDM_1_H05_C17_1_3_o_GATTGT_S40_trim1	209070_HY55YBGXT_TCDM_1_H05_C17_1_3_o_GATTGT_S40_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8289831.0	635.1 Mbp	0.0	20-86	46.0	37.80701908300983	76.25967356873741	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209071_HY55YBGXT_TCDM_1_A06_A20_1_1_i_CTCTCG_S41_trim1	209071_HY55YBGXT_TCDM_1_A06_A20_1_1_i_CTCTCG_S41_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6814999.0	535.3 Mbp	0.0	20-86	45.0	46.93516737672789	78.20226708764007	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209072_HY55YBGXT_TCDM_1_B06_A20_1_2_o_TGACAC_S42_trim1	209072_HY55YBGXT_TCDM_1_B06_A20_1_2_o_TGACAC_S42_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	615202.0	43.1 Mbp	0.0	20-86	45.0	67.33791814410334	69.70167522212216	80	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
209073_HY55YBGXT_TCDM_1_C06_X5_31_1_o_AAGACA_S43_trim1	209073_HY55YBGXT_TCDM_1_C06_X5_31_1_o_AAGACA_S43_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	174113.0	11.8 Mbp	0.0	20-86	33.0	88.87564456357437	67.72867046113731	74	pass	pass	warn	pass	warn	fail	pass	warn	pass	pass	pass
209074_HY55YBGXT_TCDM_1_D06_X4_67_1_o_ACAGAT_S44_trim1	209074_HY55YBGXT_TCDM_1_D06_X4_67_1_o_ACAGAT_S44_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	170259.0	11.6 Mbp	0.0	20-86	46.0	68.34027582569051	68.18178187349861	80	pass	pass	warn	pass	warn	fail	pass	warn	warn	warn	pass
209075_HY55YBGXT_TCDM_1_E06_A27_1_2_o_TAGGCT_S45_trim1	209075_HY55YBGXT_TCDM_1_E06_A27_1_2_o_TAGGCT_S45_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	570469.0	40.3 Mbp	0.0	20-86	50.0	54.915054718000455	70.33138347570157	84	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
