Sample	Unique Reads	Duplicate Reads
209135_HY5CNBGXT_TCDM_2_A02_X4_32_2_i_TCAGGA_S9_trim1	2351026.0	3390621.0
209136_HY5CNBGXT_TCDM_2_B02_C14_3_2_i_CGGTTA_S10_trim1	2575564.0	3095996.0
209137_HY5CNBGXT_TCDM_2_C02_X4_32_3_i_TTAACT_S11_trim1	2172730.0	2820923.0
209138_HY5CNBGXT_TCDM_2_D02_X4_32_3_o_ATGAAC_S12_trim1	2391999.0	2923837.0
209139_HY5CNBGXT_TCDM_2_E02_A04_3_2_o_CCTAAG_S13_trim1	1041933.0	602171.0
209140_HY5CNBGXT_TCDM_2_F02_X4_32_1_i_CCGACC_S14_trim1	1579451.0	3162119.0
209141_HY5CNBGXT_TCDM_2_G02_A04_3_2_i_GGCTGC_S15_trim1	2335599.0	2329665.0
209142_HY5CNBGXT_TCDM_2_H02_A04_3_1_o_TACCTT_S16_trim1	2866411.0	2429961.0
209143_HY5CNBGXT_TCDM_2_A03_C14_3_3_o_TCTTAA_S17_trim1	2929616.0	2173225.0
209144_HY5CNBGXT_TCDM_2_B03_C14_3_1_i_GTCAGG_S18_trim1	2501606.0	2434553.0
209145_HY5CNBGXT_TCDM_2_C03_A04_3_3_o_ATACTG_S19_trim1	729067.0	612778.0
209146_HY5CNBGXT_TCDM_2_D03_A27_3_3_i_TATGTC_S20_trim1	2620286.0	2415763.0
209147_HY5CNBGXT_TCDM_2_E03_C14_3_3_i_GAGTCC_S21_trim1	77126.0	54919.0
209148_HY5CNBGXT_TCDM_2_F03_A03_3_1_i_GGAGGT_S22_trim1	1287089.0	1087350.0
209149_HY5CNBGXT_TCDM_2_G03_A03_3_3_i_CACACT_S23_trim1	1446049.0	1021005.0
209150_HY5CNBGXT_TCDM_2_H03_X4_32_1_o_CCGCAA_S24_trim1	2639779.0	2600351.0
209151_HY5CNBGXT_TCDM_2_A04_A04_3_3_i_TTTATG_S25_trim1	2706947.0	2822171.0
209152_HY5CNBGXT_TCDM_2_B04_X4_32_2_o_AACGCC_S26_trim1	44318.0	2564.0
209153_HY5CNBGXT_TCDM_2_C04_A27_3_1_o_CAAGCA_S27_trim1	2688197.0	2608561.0
209154_HY5CNBGXT_TCDM_2_D04_A27_3_3_o_GCTCGA_S28_trim1	2720299.0	2440708.0
209155_HY5CNBGXT_TCDM_2_E04_A27_3_2_o_GCGAAT_S29_trim1	3241731.0	2964243.0
209156_HY5CNBGXT_TCDM_2_F04_X5_66_3_o_TGGATT_S30_trim1	3027187.0	3304906.0
209157_HY5CNBGXT_TCDM_2_G04_C17_3_1_i_ACCTAC_S31_trim1	2524265.0	2955945.0
209158_HY5CNBGXT_TCDM_2_H04_C17_3_1_o_CGAAGG_S32_trim1	3396780.0	3553946.0
209159_HY5CNBGXT_TCDM_2_A05_C17_3_2_i_AGATAG_S33_trim1	2892293.0	2333454.0
209160_HY5CNBGXT_TCDM_2_B05_C17_3_2_o_TTGGTA_S34_trim1	2993166.0	2416368.0
209161_HY5CNBGXT_TCDM_2_C05_X5_66_2_i_GTTACC_S35_trim1	2646583.0	2355117.0
209162_HY5CNBGXT_TCDM_2_D05_X5_66_1_i_CGCAAC_S36_trim1	2710840.0	2603471.0
209163_HY5CNBGXT_TCDM_2_E05_C17_3_3_o_TGGCGA_S37_trim1	2484844.0	2037834.0
209164_HY5CNBGXT_TCDM_2_F05_A03_3_2_o_ACCGTG_S38_trim1	2733155.0	2398840.0
209165_HY5CNBGXT_TCDM_2_G05_X5_66_3_i_CAACAG_S39_trim1	2582669.0	2103800.0
