gene_id	colors
Manes.01G066000.v8.1	turquoise
Manes.01G066100.v8.1	blue
Manes.01G066200.v8.1	blue
Manes.01G066400.v8.1	grey
Manes.01G066600.v8.1	grey
Manes.01G066700.v8.1	grey
Manes.01G066800.v8.1	turquoise
Manes.01G067700.v8.1	grey
Manes.01G067900.v8.1	grey
Manes.01G068001.v8.1	grey
Manes.01G068100.v8.1	grey
Manes.01G068400.v8.1	red
Manes.01G069000.v8.1	grey
Manes.01G069300.v8.1	red
Manes.01G069400.v8.1	brown
Manes.01G069500.v8.1	lightcyan
Manes.01G069600.v8.1	turquoise
Manes.01G069800.v8.1	turquoise
Manes.01G070000.v8.1	grey
Manes.01G070200.v8.1	turquoise
Manes.01G070300.v8.1	grey
Manes.01G070700.v8.1	grey
Manes.01G070900.v8.1	brown
Manes.01G071100.v8.1	turquoise
Manes.01G071200.v8.1	yellow
Manes.01G071300.v8.1	brown
Manes.01G071400.v8.1	blue
Manes.01G071500.v8.1	turquoise
Manes.01G071700.v8.1	turquoise
Manes.01G071800.v8.1	grey
Manes.01G071900.v8.1	yellow
Manes.01G072000.v8.1	turquoise
Manes.01G072100.v8.1	red
Manes.01G072200.v8.1	green
Manes.01G072400.v8.1	grey
Manes.01G072801.v8.1	grey
Manes.01G073100.v8.1	grey
Manes.01G073112.v8.1	grey
Manes.01G073125.v8.1	yellow
Manes.01G073300.v8.1	pink
Manes.01G073400.v8.1	turquoise
Manes.01G073500.v8.1	grey
Manes.01G073700.v8.1	grey
Manes.01G073800.v8.1	brown
Manes.01G073900.v8.1	cyan
Manes.01G074000.v8.1	blue
Manes.01G074100.v8.1	turquoise
Manes.01G074300.v8.1	turquoise
Manes.01G074400.v8.1	turquoise
Manes.01G074500.v8.1	turquoise
Manes.01G074600.v8.1	grey
Manes.01G074700.v8.1	grey
Manes.01G074800.v8.1	turquoise
Manes.01G074925.v8.1	turquoise
Manes.01G075000.v8.1	grey
Manes.01G075100.v8.1	tan
Manes.01G075700.v8.1	pink
Manes.01G076100.v8.1	blue
Manes.01G076201.v8.1	pink
Manes.01G076400.v8.1	brown
Manes.01G076500.v8.1	grey
Manes.01G076600.v8.1	blue
Manes.01G076800.v8.1	grey
Manes.01G076900.v8.1	grey
Manes.01G077000.v8.1	grey
Manes.01G077200.v8.1	green
Manes.01G077300.v8.1	grey
Manes.01G077400.v8.1	grey
Manes.01G077700.v8.1	turquoise
Manes.01G078000.v8.1	brown
Manes.01G078100.v8.1	brown
Manes.01G078200.v8.1	brown
Manes.01G079000.v8.1	blue
Manes.01G079200.v8.1	turquoise
Manes.01G079400.v8.1	grey
Manes.01G079500.v8.1	yellow
Manes.01G079600.v8.1	turquoise
Manes.01G079700.v8.1	grey
Manes.01G079800.v8.1	blue
Manes.01G080000.v8.1	grey
Manes.01G080200.v8.1	grey
Manes.01G080300.v8.1	turquoise
Manes.01G080400.v8.1	grey
Manes.01G080600.v8.1	grey
Manes.01G080700.v8.1	turquoise
Manes.01G080800.v8.1	turquoise
Manes.01G080900.v8.1	turquoise
Manes.01G080964.v8.1	turquoise
Manes.01G081400.v8.1	salmon
Manes.01G081500.v8.1	blue
Manes.01G081600.v8.1	turquoise
Manes.01G081800.v8.1	grey
Manes.01G081900.v8.1	turquoise
Manes.01G082200.v8.1	grey
Manes.01G082300.v8.1	grey
Manes.01G082400.v8.1	turquoise
Manes.01G082600.v8.1	yellow
Manes.01G082700.v8.1	turquoise
Manes.01G082800.v8.1	grey
Manes.01G083200.v8.1	grey
Manes.01G083600.v8.1	brown
Manes.01G083700.v8.1	grey
Manes.01G083800.v8.1	grey
Manes.01G083900.v8.1	black
Manes.01G084100.v8.1	blue
Manes.01G084200.v8.1	salmon
Manes.01G084300.v8.1	turquoise
Manes.01G084500.v8.1	green
Manes.01G084600.v8.1	turquoise
Manes.01G084700.v8.1	turquoise
Manes.01G084800.v8.1	grey
Manes.01G084900.v8.1	turquoise
Manes.01G085300.v8.1	turquoise
Manes.01G085400.v8.1	magenta
Manes.01G085550.v8.1	grey
Manes.01G085600.v8.1	grey
Manes.01G085700.v8.1	blue
Manes.01G085800.v8.1	turquoise
Manes.01G085900.v8.1	turquoise
Manes.01G086000.v8.1	grey
Manes.01G086100.v8.1	magenta
Manes.01G086200.v8.1	grey
Manes.01G086400.v8.1	red
Manes.01G086600.v8.1	turquoise
Manes.01G086700.v8.1	lightcyan
Manes.01G086800.v8.1	brown
Manes.01G086900.v8.1	grey
Manes.01G087050.v8.1	turquoise
Manes.01G087200.v8.1	blue
Manes.01G087300.v8.1	turquoise
Manes.01G087400.v8.1	grey
Manes.01G087500.v8.1	yellow
Manes.01G087600.v8.1	grey
Manes.01G087700.v8.1	turquoise
Manes.01G087800.v8.1	grey
Manes.01G087900.v8.1	yellow
Manes.01G088500.v8.1	grey
Manes.01G088600.v8.1	turquoise
Manes.01G088700.v8.1	green
Manes.01G088800.v8.1	turquoise
Manes.01G089000.v8.1	grey
Manes.01G089100.v8.1	brown
Manes.01G089200.v8.1	brown
Manes.01G089600.v8.1	blue
Manes.01G089700.v8.1	grey
Manes.01G089800.v8.1	turquoise
Manes.01G089900.v8.1	grey
Manes.01G090100.v8.1	blue
Manes.01G090200.v8.1	grey
Manes.01G090400.v8.1	yellow
Manes.01G090500.v8.1	grey
Manes.01G090900.v8.1	grey
Manes.01G091100.v8.1	brown
Manes.01G091400.v8.1	turquoise
Manes.01G091500.v8.1	grey
Manes.01G091600.v8.1	grey
Manes.01G091700.v8.1	grey
Manes.01G092000.v8.1	turquoise
Manes.01G092100.v8.1	blue
Manes.01G092300.v8.1	magenta
Manes.01G092400.v8.1	green
Manes.01G092700.v8.1	black
Manes.01G092900.v8.1	turquoise
Manes.01G093000.v8.1	blue
Manes.01G093100.v8.1	grey
Manes.01G093200.v8.1	green
Manes.01G093400.v8.1	turquoise
Manes.01G093700.v8.1	grey
Manes.01G094100.v8.1	grey
Manes.01G093800.v8.1	grey
Manes.01G094300.v8.1	grey
Manes.01G094500.v8.1	grey
Manes.01G094700.v8.1	turquoise
Manes.01G094800.v8.1	turquoise
Manes.01G095100.v8.1	grey
Manes.01G096400.v8.1	grey
Manes.01G096300.v8.1	yellow
Manes.01G096000.v8.1	brown
Manes.01G095900.v8.1	grey
Manes.01G095800.v8.1	grey
Manes.01G095500.v8.1	turquoise
Manes.01G128050.v8.1	turquoise
Manes.01G160602.v8.1	brown
Manes.01G097000.v8.1	turquoise
Manes.01G097200.v8.1	grey
Manes.01G097300.v8.1	grey
Manes.01G097400.v8.1	grey
Manes.01G097500.v8.1	midnightblue
Manes.01G097600.v8.1	turquoise
Manes.01G097700.v8.1	turquoise
Manes.01G097800.v8.1	turquoise
Manes.01G097900.v8.1	brown
Manes.01G098000.v8.1	turquoise
Manes.01G098100.v8.1	blue
Manes.01G098200.v8.1	black
Manes.01G098300.v8.1	grey
Manes.01G098400.v8.1	brown
Manes.01G098600.v8.1	turquoise
Manes.01G098800.v8.1	turquoise
Manes.01G099000.v8.1	blue
Manes.01G099100.v8.1	grey
Manes.01G099200.v8.1	blue
Manes.01G099300.v8.1	turquoise
Manes.01G099400.v8.1	turquoise
Manes.01G099500.v8.1	blue
Manes.01G099600.v8.1	grey
Manes.01G099800.v8.1	grey
Manes.01G099900.v8.1	grey
Manes.01G100000.v8.1	grey
Manes.01G100400.v8.1	brown
Manes.01G100500.v8.1	turquoise
Manes.01G100700.v8.1	grey
Manes.01G100900.v8.1	blue
Manes.01G101200.v8.1	black
Manes.01G101300.v8.1	turquoise
Manes.01G101600.v8.1	brown
Manes.01G101700.v8.1	brown
Manes.01G102466.v8.1	grey
