Sample_Name,Sample_Title,Isolate,Organism,Cultivar,Development_stage,Collection_date,Geographic_location,Tissue
TCDM1_C14_2_3_i,C14_2_3_i,3_i,Manihot esculenta,HIL16C014,5 MAP,5/25/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_C14_2_1_i_2,C14_2_1_i,1_i,Manihot esculenta,HIL16C014,5 MAP,5/25/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_A20_2_3_o_2,A20_2_3_o,3_o,Manihot esculenta,HIL16A020,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_C14_2_2_i,C14_2_2_i,2_i,Manihot esculenta,HIL16C014,5 MAP,5/25/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_C14_2_3_o,C14_2_3_o,3_o,Manihot esculenta,HIL16C014,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_C17_2_2_i,C17_2_2_i,2_i,Manihot esculenta,HIL16C017,5 MAP,5/25/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_A03_2_3_o,A03_2_3_o,3_o,Manihot esculenta,HIL16A003,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_C17_2_3_i,C17_2_3_i,3_i,Manihot esculenta,HIL16C017,5 MAP,5/25/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_A03_2_2_o,A03_2_2_o,2_o,Manihot esculenta,HIL16A003,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_C17_2_2_o,C17_2_2_o,2_o,Manihot esculenta,HIL16C017,5 MAP,5/25/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X8_41.5_3_i,X8_41.5_3_i,3_i,Manihot esculenta,ITH21F008P041.5,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X8_41.5_3_o,X8_41.5_3_o,3_o,Manihot esculenta,ITH21F008P041.5,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X4_46_1_o,X4_46_1_o,1_o,Manihot esculenta,ITH21F004P046,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X8_41.5_2_i,X8_41.5_2_i,2_i,Manihot esculenta,ITH21F008P041.5,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_X8_41.5_2_o,X8_41.5_2_o,2_o,Manihot esculenta,ITH21F008P041.5,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X4_46_3_o,X4_46_3_o,3_o,Manihot esculenta,ITH21F004P046,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X4_46_1_i,X4_46_1_i,1_i,Manihot esculenta,ITH21F004P046,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C14_3_2_o,C14_3_2_o,2_o,Manihot esculenta,HIL16C014,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_A03_3_1_o,A03_3_1_o,1_o,Manihot esculenta,HIL16A003,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
