"","tubeID","mean_ng.uL","mean_ratio","mean_230","sd_ng.uL","sd_ratio","sd_230","na.rm","sample_ID","SampleID","plate","QCcheck","genotype","root","uL_to_pipet","water_to_pipet","final_conc","block"
"41","plate1.3_53",398.44,2.057,1.066149068,3.5072496346853,0.00424264068711945,0.00746634474518947,TRUE,"53","X4_67_3_o","plate1.3","PASS","X4_67","X4_67_3",25,0,332.033333333333,1
"42","plate1.3_54",189.88,2.112,0.988103488,3.62038671967513,0.0254558441227157,0.0677868594606994,TRUE,"54","X5_31_2_i","plate1.3","PASS","X5_31","X5_31_2",25,0,158.233333333333,1
"43","plate1.3_57",544.84,2.1625,1.0230366205,142.326452917228,0.0247487373415293,0.0100414331879061,TRUE,"57","C17_1_1_o","plate1.3","PASS","C17_1","C17_1_1",25,0,454.033333333333,1
"44","plate1.3_58",507.24,2.1635,1.0406780735,51.5905107553705,0.0134350288425445,0.00375510399652001,TRUE,"58","A20_1_1_o","plate1.3","PASS","A20_1","A20_1_1",25,0,422.7,1
"45","plate1.3_60",175.32,2.1945,0.807835941,39.5979797464467,0.166170093578839,0.210934628217984,TRUE,"60","X2_24_3_i","plate1.3","PASS","X2_24","X2_24_3",25,0,146.1,4
"46","plate1.3_61",399.92,2.0695,1.0556599435,29.4722106398553,0.0459619407771256,0.0531184207241974,TRUE,"61","C17_1_3_o","plate1.3","PASS","C17_1","C17_1_3",25,0,333.266666666667,1
"47","plate1.3_63",471.6,2.128,1.0280287335,29.4722106398553,0.0282842712474619,0.00490354440411641,TRUE,"63","A20_1_1_i","plate1.3","PASS","A20_1","A20_1_1",25,0,393,1
"48","plate1.3_64",816.64,2.171,1.050277075,9.44694659665229,0.00565685424949239,0.00568735600760577,TRUE,"64","A20_1_2_o","plate1.3","PASS","A20_1","A20_1_2",18.3679467084639,6.63205329153605,500,1
"49","plate1.3_65",303.56,2.15,0.97217661,19.7989898732233,0.00565685424949239,0.00941776995664691,TRUE,"65","X2_24_2_o","plate1.3","PASS","X2_24","X2_24_2",25,0,252.966666666667,4
"50","plate1.3_66",365.48,2.1655,0.992688763,19.2333044482741,0.0176776695296636,0.01685676381154,TRUE,"66","X5_31_1_o","plate1.3","PASS","X5_31","X5_31_1",25,0,304.566666666667,1
"51","plate1.3_67",785.48,2.0885,1.0881014705,14.9340952186599,0.0728319984622145,0.0352431106065514,TRUE,"67","X4_67_1_o","plate1.3","PASS","X4_67","X4_67_1",19.0966033508173,5.90339664918267,500,1
"52","plate1.3_68",350.2,2.065,1.060223489,43.2183664661218,0.0311126983722081,0.054918317902194,TRUE,"68","A27_1_2_o","plate1.3","PASS","A27_1","A27_1_2",25,0,291.833333333333,1
"53","plate1.3_69",319.96,2.0975,0.9744110375,6.44881384442132,0.0190918830920369,0.0218307600926931,TRUE,"69","X2_24_1_o","plate1.3","PASS","X2_24","X2_24_1",25,0,266.633333333333,4
