,PlateName,TubeNum,tubeID,SampleID,RNA_extraction_date,Well_concentration_nguL,mean_nguL,mean260.280,genotype
93,Plate2,31,plate2.2_31,X4_32_3_o,6/14/23,500,1683.4,2.056,X4_32
94,Plate2,33,plate2.2_33,A04_3_2_o,6/14/23,500,890.4,2.148,A04_3
95,Plate2,34,plate2.2_34,C17_2_3_o,6/14/23,500,967.64,2.158,C17_2
96,Plate2,35,plate2.2_35,X4_32_1_i,6/14/23,500,917.36,2.1085,X4_32
97,Plate2,36,plate2.2_36,A04_3_2_i,6/14/23,232.2666667,278.72,2.103,A04_3
98,Plate2,37,plate2.2_37,X4_24_1_i,6/14/23,351.8,422.16,2.1235,X4_24
99,Plate2,39,plate2.2_39,C14_3_3_o,6/14/23,419.7666667,503.72,2.146,C14_3
100,Plate2,40,plate2.2_40,X5_36_3_o,6/14/23,500,785.84,2.1305,X5_36
101,Plate2,41,plate2.2_41,C14_3_1_i,6/14/23,443.1666667,531.8,2.1285,C14_3
102,Plate2,42,plate2.2_42,A04_3_3_o,6/14/23,500,1064.24,2.123,A04_3
103,Plate2,43,plate2.2_43,A27_3_3_i,6/14/23,307.3,368.76,2.1295,A27_3
104,Plate2,44,plate2.2_44,C14_3_3_i,6/14/23,200.2333333,240.28,2.131,C14_3
105,Plate2,45,plate2.2_45,A03_3_1_i,6/14/23,442.0666667,530.48,2.094,A03_3
106,Plate2,46,plate2.2_46,X4_24_2_i,6/14/23,310.3333333,372.4,2.119,X4_24
107,Plate2,47,plate2.2_47,A03_3_3_i,6/14/23,380.4333333,456.52,2.123,A03_3
108,Plate2,48,plate2.2_48,X4_32_1_o,6/14/23,500,1831.88,2.037,X4_32
109,Plate2,49,plate2.2_49,A04_3_3_i,6/14/23,276.5666667,331.88,2.14,A04_3
110,Plate2,51,plate2.3_51,X4_32_2_o,23-Jul,500,1952.64,2.0135,X4_32
111,Plate2,52,plate2.3_52,A03_2_1_i,23-Jul,308.7333333,370.48,2.141,A03_2
112,Plate2,54,plate2.3_54,C14_2_1_i,23-Jul,500,669.72,2.1065,C14_2
113,Plate2,55,plate2.3_55,A27_3_3_o,23-Jul,500,816.68,2.13,A27_3
114,Plate2,56,plate2.3_56,A27_3_2_o,23-Jul,500,748.36,2.15,A27_3
115,Plate2,57,plate2.3_57,A20_2_2_i,23-Jul,500,791.28,2.1445,A20_2
116,Plate2,58,plate2.3_58,A20_2_1_o,23-Jul,500,1113.96,2.1625,A20_2
117,Plate2,59,plate2.3_59,X5_66_3_o,23-Jul,500,893.6,2.096,X5_66
118,Plate2,60,plate2.3_60,C14_2_2_o,23-Jul,500,726.28,2.1365,C14_2
119,Plate2,61,plate2.3_61,C17_3_1_i,23-Jul,342.5333333,411.04,2.1215,C17_3
120,Plate2,62,plate2.3_62,C17_3_1_o,23-Jul,500,954.72,2.118,C17_3
121,Plate2,63,plate2.3_63,A04_2_3_o,23-Jul,500,1077.08,2.144,A04_2
122,Plate2,64,plate2.3_64,C17_3_2_i,23-Jul,500,686.88,2.1485,C17_3
123,Plate2,65,plate2.3_65,C17_3_2_o,23-Jul,500,1039.88,2.151,C17_3
124,Plate2,66,plate2.3_66,X5_66_2_i,23-Jul,500,767.107,2.165,X5_66
125,Plate2,67,plate2.3_67,X5_66_1_i,23-Jul,500,691.427,2.1745,X5_66
126,Plate2,68,plate2.3_68,C17_3_3_o,23-Jul,500,1133.147,2.175,C17_3
127,Plate2,70,plate2.3_70,X5_66_3_i,23-Jul,500,715.267,2.1745,X5_66
128,Plate2,71,plate2.3_71,X5_66_1_o,23-Jul,500,1179.227,2.175,X5_66
129,Plate2,72,plate2.3_72,A04_2_1_o,23-Jul,500,1114.707,2.183,A04_2
130,Plate2,73,plate2.3_73,X5_66_2_o,23-Jul,500,1206.867,2.164,X5_66
131,Plate2,74,plate2.4_74,X4_24_3_o,23-Jul,401.6,481.92,1.9955,X4_24
132,Plate2,75,plate2.4_75,A03_4_1_i,23-Jul,500,629.8,2.108,A03_4
133,Plate2,76,plate2.4_76,X8_37_2_i,23-Jul,219.1333333,262.96,2.157,X8_37
134,Plate2,77,plate2.4_77,A27_3_2_i,23-Jul,261.6666667,314,2.1825,A27_3
135,Plate2,78,plate2.4_78,A04_2_1_i,23-Jul,500,796.2,2.171,A04_2
136,Plate2,79,plate2.4_79,X4_24_3_i,23-Jul,366.2,439.44,2.161,X4_24
137,Plate2,80,plate2.4_80,X8_37_3_o,23-Jul,500,900.68,2.1785,X8_37
138,Plate2,81,plate2.4_81,C64_3_1_o,23-Jul,500,992.16,2.169,C64_3
139,Plate2,82,plate2.4_82,X9_35_2_i,23-Jul,500,776.52,2.1065,X9_35
140,Plate2,83,plate2.4_83,A04_2_3_i,23-Jul,467.2666667,560.72,2.1435,A04_2
141,Plate2,84,plate2.4_84,X8_37_2_o,23-Jul,361.8,434.16,2.1335,X8_37
142,Plate2,85,plate2.4_85,X8_37_1_o,23-Jul,430.4,516.48,2.177,X8_37
143,Plate2,86,plate2.4_86,C64_3_1_i,23-Jul,500,691.4,2.1855,C64_3
144,Plate2,87,plate2.4_87,A20_2_1_i,23-Jul,500,927.68,2.1805,A20_2
145,Plate2,88,plate2.4_88,A04_2_2_o,23-Jul,368.2333333,441.88,2.162,A04_2
146,Plate2,89,plate2.4_89,X8_37_3_i,23-Jul,500,911.08,2.176,X8_37
147,Plate2,90,plate2.4_90,C14_4_1_i,23-Jul,500,928.52,2.1675,C14_4
148,Plate2,91,plate2.4_91,X8_37_1_i,23-Jul,500,913.52,2.1505,X8_37
149,Plate2,92,plate2.4_92,C14_3_1_o,23-Jul,500,816.88,2.1725,C14_3
