sample_ID,fresh_weight_(g),dry_weight_(g),tube_type,dry_date,notes,DMC_estimate,,block,harvest_date,previous_dry_weight_measurement_(g)
X11_68_2_i,11.56,9.161,,7/25/22,ground,51.14,,2,5/25/22,
X11_68_2_o,12.86,9.474,,7/25/22,ground,45.48,,2,5/25/22,
X11_68_3_i,14.05,10.011,,7/25/22,ground,45.42,,2,5/25/22,
X11_68_3_o,13.75,9.769,,7/25/22,ground,43.93,,2,5/25/22,
X4_33_1_i,13.9,9.802,white,6/29/22,,43.48,,2,5/25/22,
X4_33_1_o,13.27,9.364,,7/25/22,ground,41,,2,5/25/22,
X4_33_2_i,12.75,9.082,,7/25/22,ground,39.87,,2,5/25/22,
X4_33_2_o,14.2,9.836,white,6/29/22,ground,42.2,,2,5/25/22,
X4_33_3_i,12.73,9.402,,7/25/22,ground,45.26,,2,5/25/22,
X4_33_3_o,13.4,9.211,,7/25/22,ground,37.94,,2,5/25/22,
X12_63_1_i,12.87,9.587,white,6/29/22,,47.22,,2,5/25/22,
X12_63_1_o,13.8,9.392,white,6/29/22,,38.35,,2,5/25/22,
X12_63_2_i,14.74,10.06,white,6/29/22,,42.15,,2,5/25/22,
X12_63_2_o,14.2,9.7,white,6/29/22,,40.4,,2,5/25/22,
X12_63_3_i,14.43,10.023,white,6/29/22,,43.35,,2,5/25/22,
X12_63_3_o,14.15,9.782,white,6/29/22,,41.76,,2,5/25/22,
X5_47_1_i,12.1,8.813,white,6/29/22,,39.69,,2,5/25/22,
X5_47_1_o,15.97,10.062,white,6/29/22,,36.61,,2,5/25/22,
X5_47_2_i,12.71,9.111,white,6/29/22,,40.61,,2,5/25/22,
X5_47_2_o,13.33,9.437,white,6/29/22,,41.72,,2,5/25/22,
X5_47_3_i,12.88,9.222,white,6/29/22,,41.28,,2,5/25/22,
X5_47_3_o,12.99,9.395,white,6/29/22,,43.3,,2,5/25/22,
C65_2_1_i,13.67,9.812,white,6/29/22,,45.04,,2,5/25/22,
C65_2_1_o,13.03,9.241,white,6/29/22,,40.61,,2,5/25/22,
C65_2_2_i,13.43,9.767,white,6/29/22,,45.97,,2,5/25/22,
C65_2_2_o,14.71,9.858,white,7/14/22,,39.8,,2,5/25/22,
C65_2_3_i,13.42,9.52,white,6/29/22,,42.39,,2,5/25/22,
C65_2_3_o,13.75,9.226,white,6/29/22,,36.28,,2,5/25/22,
A20_2_1_i,11.75,8.888,white,7/14/22,,43.88,,2,5/25/22,
A20_2_1_o,13.68,9.227,white,6/29/22,,36.66,,2,5/25/22,
A20_2_2_i,11.14,8.864,white,7/14/22,,49.31,,2,5/25/22,
A20_2_2_o,13.67,9.722,white,7/14/22,"this dry weight may also belong to A20_1_2_o (block one); the tube is labeled A20_2_o (block # missing), but I wrote all the tubes for the first day so I think it must belong to the second block and is probably correct).",43.76,,2,5/25/22,
A20_2_3_i,10.17,8.363,white,6/29/22,,48.66,,2,5/25/22,
A20_2_3_o,12.73,9.09,white,6/29/22,,40.13,,2,5/25/22,
X8_64_1_i,14.66,10.093,white,7/14/22,,42.98,,2,5/25/22,
X8_64_1_o,13.72,9.574,white,6/29/22,,41.36,,2,5/25/22,
X8_64_2_i,13.82,9.805,white,7/14/22,,44,,2,5/25/22,
X8_64_2_o,13.45,9.527,white,7/14/22,,42.31,,2,5/25/22,
X8_64_3_i,14.74,10.285,white,6/29/22,,44.93,,2,5/25/22,
X8_64_3_o,15.18,10.282,white,7/14/22,,42.58,,2,5/25/22,
C14_2_1_i,12.94,9.651,white,8/1/22,,47.71,,2,5/25/22,
C14_2_1_o,11.61,8.705,white,7/14/22,,41.43,,2,5/25/22,
C14_2_2_i,11.86,9.22,white,7/14/22,,49.33,,2,5/25/22,
C14_2_2_o,12.78,9.406,white,6/29/22,,44.96,,2,5/25/22,
C14_2_3_i,12.94,8.792,white,6/29/22,,34.05,,2,5/25/22,
C14_2_3_o,12.62,9.233,white,7/14/22,,43.27,,2,5/25/22,
X10_50_1_i,12.95,9.657,white,8/3/22,may have re-lyophilized; definitely correct label,47.73,,2,5/25/22,
X10_50_1_o,14.46,10.066,white,6/29/22,,43.74,,2,5/25/22,
X10_50_2_i,13.19,9.512,white,7/14/22,,43.76,,2,5/25/22,
X10_50_2_o,11.83,8.53,white,7/14/22,,36.29,,2,5/25/22,
X10_50_3_i,14.11,,,,,,,2,5/25/22,
X10_50_3_o,14.15,9.903,white,7/14/22,,43.37,,2,5/25/22,
X5_66_1_i,11.92,9.993,,7/20/22,orange tube weight: 6.62-6.69,63.43,,3,5/26/22,
X5_66_1_o,13.07,10.993,,7/20/22,,67.65,,3,5/26/22,
X5_66_2_i,12.61,8.132,,7/20/22,,24.87,,3,5/26/22,
X5_66_2_o,13.72,10.185,,7/20/22,,50,,3,5/26/22,
X5_66_3_i,13.3,10.124,,7/20/22,,52.24,,3,5/26/22,
X5_66_3_o,10.28,8.102,,7/20/22,,40,,3,5/26/22,
C17_3_1_i,9.57,6.174,,7/20/22,,-16.3,,3,5/26/22,
C17_3_1_o,11.76,9.09,,7/20/22,,47.75,,3,5/26/22,
C17_3_2_i,10.27,7.079,,7/20/22,,11.85,,3,5/26/22,
C17_3_2_o,13.04,10.106,,7/20/22,,54.08,,3,5/26/22,
C17_3_3_i,9.61,7.913,orange,8/1/22,,91.45,,3,5/26/22,
C17_3_3_o,12.8,9.357,,7/20/22,,,,3,5/26/22,
X6_38_1_i,13.65,9.554,orange,8/1/22,,41.48,,3,5/26/22,
X6_38_1_o,12.74,9.024,,7/20/22,,38.98,,3,5/26/22,
X6_38_2_i,12.32,9.102,,7/20/22,,43.25,,3,5/26/22,
X6_38_2_o,14.19,9.332,orange,8/1/22,the correct x6_38_2_o,35.57,,3,5/26/22,
X6_38_3_i,13.73,9.551,orange,8/1/22,,40.98,,3,5/26/22,
