"SampleID","meansuc_mg_g","mean_totalsugar","meanglc_mg_g","mean_starch_mg_g","genotype","block","harvest_date","rootnum","layer","year","PlateName"
"A04_1_2_o",42.8881240686908,47.9984322421069,5.11030817341614,514.419465883941,"A04",1,"5/24/22","2","o","2022","2021_RNAselected_starch-lastset"
"A04_1_3_i",NA,18.4722014493548,NA,911.49177691822,"A04",1,"5/24/22","3","i","2022","2021_RNAselected_starch-2"
"A04_1_3_o",22.1043491852484,24.551705924794,2.44735673954558,735.849468288118,"A04",1,"5/24/22","3","o","2022","2021_RNAselected_starch-2"
"A04_2_1_i",28.9090094488473,37.4088962474667,8.49988679861936,825.69074828802,"A04",2,"25-May","1","i","2022","121-163_rna_green_plates"
"A04_2_1_o",NA,58.1079900731907,NA,837.555918393574,NA,NA,NA,NA,NA,"2022","121-163_rna_green_plates"
"A04_2_2_i",NA,NA,NA,968.058663430402,"A04",2,"25-May","2","i","2022","78-120 rna_green_plates"
"A04_2_2_i",NA,NA,NA,799.385067960374,"A04",2,"25-May","2","i","2022","78-120_rna_green_plates"
"A04_2_2_o",NA,23.3473352359473,NA,793.376516019877,"A04",2,"25-May","2","o","2022","78-120 rna_green_plates"
"A04_2_2_o",NA,23.3473352359473,NA,806.101216970167,"A04",2,"25-May","2","o","2022","78-120_rna_green_plates"
"A04_2_3_i",NA,23.2951328851384,NA,832.979825817628,"A04",2,"25-May","3","i","2022","121-163_rna_green_plates"
"A04_2_3_o",NA,53.0682404081987,NA,637.363198573622,"A04",2,"25-May","3","o","2022","121-163_rna_green_plates"
"A04_3_1_o",46.7416727160793,80.2618032496082,33.520130533529,NA,"A04",3,"26-May","1","o","2022",NA
"A04_3_2_i",20.6361089259373,20.9787595715426,0.342650645605269,912.233430676736,"A04",3,"26-May","2","i","2022","2021_RNAselected_starch-2"
"A04_3_2_o",11.0822184934199,19.9916931195072,8.9094746260873,735.531300943738,"A04",3,"26-May","2","o","2022","2021_RNAselected_starch-2"
"A04_3_3_i",24.7368438607212,25.0017671353143,0.264923274593059,767.56271977449,"A04",3,"26-May","3","i","2022","121-163_rna_green_plates"
"A04_3_3_o",NA,NA,NA,NA,"A04",3,"26-May","3","o","2022",NA
"A20_1_1_i",NA,NA,-1.58808165125857,NA,"A20",1,"5/24/22","1","i","2022",NA
"A20_1_1_o",21.3709719101408,24.2958936601017,2.92492174996094,640.975989052133,"A20",1,"5/24/22","1","o","2022","2021_RNAselected_starch-1"
"A20_1_2_i",NA,11.6981934179603,NA,964.54905999809,"A20",1,"5/24/22","2","i","2022","2021_RNAselected_starch-2"
"A20_1_2_o",1.75787870663756,2.38353101039132,0.625652303753759,NA,"A20",1,"5/24/22","2","o","2022",NA
"A20_1_3_i",NA,16.5992756218852,NA,974.39985731666,"A20",1,"5/24/22","3","i","2022","2021_RNAselected_starch-2"
"A20_1_3_o",NA,NA,2.75445418467098,709.946967012082,"A20",1,"5/24/22","3","o","2022","2021_RNAselected_starch-1"
"A20_2_1_i",NA,9.77727700917692,NA,1068.87294960669,"A20",2,"25-May","1","i","2022","78-120 rna_green_plates"
"A20_2_1_o",NA,43.0210383656762,NA,608.714245597558,"A20",2,"25-May","1","o","2022","121-163_rna_green_plates"
"A20_2_2_i",NA,NA,NA,1005.61773662631,"A20",2,"25-May","2","i","2022","121-163_rna_green_plates"
"A20_2_2_o",NA,34.4773735209873,NA,788.322843561616,"A20",2,"25-May","2","o","2022","121-163_rna_green_plates"
"A20_2_3_i",8.16107149519923,8.30522555442496,0.144154059225725,807.925397239327,"A20",2,"25-May","3","i","2022","2021_RNAselected_starch-1"
"A20_2_3_o",30.3845348793724,39.3994078411556,9.01487296178316,689.859285299612,"A20",2,"25-May","3","o","2022","78-120 rna_green_plates"
"A20_2_3_o",30.3845348793724,39.3994078411556,9.01487296178316,681.546950609383,"A20",2,"25-May","3","o","2022","78-120_rna_green_plates"
"A27_1_1_i",NA,15.9210566108607,NA,1007.28091753756,"A27",1,"5/24/22","1","i","2022","2021_RNAselected_starch-2"
"A27_1_1_o",NA,24.6921710716018,NA,1039.70104054208,"A27",1,"5/24/22","1","o","2022","2021_RNAselected_starch-2"
"A27_1_2_i",12.4659670180045,11.8037961000032,-0.662170918001365,1183.17331174021,"A27",1,"5/24/22","2","i","2022","2021_RNAselected_starch-2"
"A27_1_2_o",25.6425104829635,30.9936448736466,5.35113439068315,738.669703129353,"A27",1,"5/24/22","2","o","2022","2021_RNAselected_starch-1"
"A27_1_3_i",NA,14.3824306568887,NA,840.862184089441,"A27",1,"5/24/22","3","i","2022","2021_RNAselected_starch-1"
"A27_1_3_o",25.266963102037,30.7923633466379,5.5254002446009,711.058612396636,"A27",1,"5/24/22","3","o","2022","2021_RNAselected_starch-1"
"A27_3_1_i",9.3431264752809,8.84611366209341,-0.497012813187489,818.290505532565,"A27",3,"26-May","1","i","2022","121-163_rna_green_plates"
"A27_3_1_o",NA,41.4664387356078,NA,828.603348427239,"A27",3,"26-May","1","o","2022","121-163_rna_green_plates"
"A27_3_2_i",8.15533518767678,7.88796751470973,-0.267367672967049,831.580630794735,"A27",3,"26-May","2","i","2022","121-163_rna_green_plates"
"A27_3_2_o",32.498450716717,50.814378543156,18.315927826439,745.408442098397,"A27",3,"26-May","2","o","2022","121-163_rna_green_plates"
"A27_3_3_i",12.2064499097102,9.68194868812277,-2.52450122158744,708.832477445815,"A27",3,"26-May","3","i","2022","121-163_rna_green_plates"
"A27_3_3_o",NA,53.9671991676538,NA,738.380596915662,"A27",3,"26-May","3","o","2022","121-163_rna_green_plates"
"A27_4_1_i",NA,5.36395991026821,NA,1185.92415013359,"A27",4,"27-May","1","i","2022","2021_RNAselected_starch-lastset"
"A27_4_1_i",12.71312136858,12.5490058258818,-0.164115542698217,713.556249770056,"A27",4,"27-May","1","i","2022","Trial1Starch-2_fulldigest"
"A27_4_1_o",32.6326535183772,33.9649524996398,1.33229898126253,388.831950950247,"A27",4,"27-May","1","o","2022","2021_RNAselected_starch-lastset"
"A27_4_2_i",10.5128357088117,9.29567209310526,-1.21716361570643,1311.75292475596,"A27",4,"27-May","2","i","2022","2021_RNAselected_starch-lastset"
"A27_4_2_o",23.9427063331216,29.0814675268752,5.13876119375366,743.830826670905,"A27",4,"27-May","2","o","2022","2021_RNAselected_starch-1"
"A27_4_3_i",7.67339149784581,6.55130650923178,-1.12208498861403,1011.48814006772,"A27",4,"27-May","3","i","2022","2021_RNAselected_starch-lastset"
"A27_4_3_o",46.577013212056,49.5752408513168,2.99822763926087,643.85526866636,"A27",4,"27-May","3","o","2022","2021_RNAselected_starch-lastset"
"C14_2_1_i",NA,3.28023792074393,NA,823.814420476516,"C14",2,"25-May","1","i","2022","78-120 rna_green_plates"
"C14_2_1_i",NA,3.28023792074393,NA,743.098768289275,"C14",2,"25-May","1","i","2022","78-120_rna_green_plates"
"C14_2_1_o",28.4555385460343,25.2426809139651,-3.21285763206926,895.444382504255,"C14",2,"25-May","1","o","2022","121-163_rna_green_plates"
"C14_2_2_i",5.91542242198758,5.2521998219941,-0.663222599993478,805.82272418979,"C14",2,"25-May","2","i","2022","78-120 rna_green_plates"
"C14_2_2_i",5.91542242198758,5.2521998219941,-0.663222599993478,737.626933018573,"C14",2,"25-May","2","i","2022","78-120_rna_green_plates"
"C14_2_2_o",NA,20.3774705808494,NA,677.713086011629,"C14",2,"25-May","2","o","2022","121-163_rna_green_plates"
"C14_2_3_i",NA,5.28091255654836,NA,933.589976535142,"C14",2,"25-May","3","i","2022","78-120 rna_green_plates"
"C14_2_3_i",NA,5.28091255654836,NA,921.376457577533,"C14",2,"25-May","3","i","2022","78-120_rna_green_plates"
"C14_2_3_o",NA,19.2667113310023,NA,765.041640447739,"C14",2,"25-May","3","o","2022","78-120 rna_green_plates"
"C14_2_3_o",NA,19.2667113310023,NA,817.400786177587,"C14",2,"25-May","3","o","2022","78-120_rna_green_plates"
"C14_3_1_i",NA,15.5049695985421,NA,NA,"C14",3,"26-May","1","i","2022",NA
"C14_3_1_o",36.0823679041029,40.4895000324141,4.40713212831123,704.115851021512,"C14",3,"26-May","1","o","2022","78-120 rna_green_plates"
"C14_3_1_o",36.0823679041029,40.4895000324141,4.40713212831123,577.501610059558,"C14",3,"26-May","1","o","2022","78-120_rna_green_plates"
"C14_3_2_i",12.9743657290294,13.1344334343085,0.16006770527911,967.857418448412,"C14",3,"26-May","2","i","2022","2021_RNAselected_starch-2"
"C14_3_2_o",22.3157704177754,24.1362682065857,1.82049778881023,765.16280279527,"C14",3,"26-May","2","o","2022","2021_RNAselected_starch-2"
"C14_3_3_i",NA,8.13860245657649,NA,746.575574899468,"C14",3,"26-May","3","i","2022","121-163_rna_green_plates"
"C14_3_3_o",21.3912793185945,21.2336647971603,-0.157614521434205,713.978455343827,"C14",3,"26-May","3","o","2022","121-163_rna_green_plates"
"C14_4_1_i",NA,8.80598284828871,NA,1013.86024649409,"C14",4,"27-May","1","i","2022","78-120 rna_green_plates"
"C14_4_1_i",NA,8.80598284828871,NA,919.502206881518,"C14",4,"27-May","1","i","2022","78-120_rna_green_plates"
"C14_4_1_o",34.2683050562052,36.9470229295231,2.67871787331791,255.250903976303,"C14",4,"27-May","1","o","2022","78-120 rna_green_plates"
"C14_4_3_o",27.865077998241,30.5820896315954,2.71701163335441,909.829217647587,NA,NA,NA,NA,NA,"2022","2021_RNAselected_starch-lastset"
"C17_1_1_i",11.4058690825987,10.9346749343029,-0.471194148295821,1124.68278031898,"C17",1,"5/24/22","1","i","2022","2021_RNAselected_starch-lastset"
"C17_1_1_o",19.8187033156612,20.9065123198985,1.08780900423731,824.275863220246,"C17",1,"5/24/22","1","o","2022","2021_RNAselected_starch-1"
"C17_1_2_i",14.6593148357584,14.3352893658183,-0.324025469940019,957.540831548107,"C17",1,"5/24/22","2","i","2022","2021_RNAselected_starch-2"
"C17_1_2_o",22.0330892197493,26.4776096147035,4.44452039495412,822.203182608746,"C17",1,"5/24/22","2","o","2022","2021_RNAselected_starch-2"
"C17_1_3_i",19.1031618227333,18.657979225705,-0.445182597028325,874.59747523707,"C17",1,"5/24/22","3","i","2022","2021_RNAselected_starch-2"
