dry_date_y,sampleID
6/27/24,202_X4_67_rt3_o
4/10/24,211_C14_rt1_i
4/10/24,211_C14_rt1_o
7/14/23,211_C14_rt2_i
7/14/23,211_C14_rt2_o
7/14/23,211_C14_rt3_i
4/10/24,211_C14_rt3_o
7/14/23,212_X8_37_rt1_i
4/10/24,212_X8_37_rt1_o
7/14/23,212_X8_37_rt2_i
7/14/23,212_X8_37_rt2_o
6/27/24,212_X8_37_rt3_i
7/14/23,212_X8_37_rt3_o
7/14/23,213_X4_42_rt1_i
7/14/23,213_X4_42_rt1_o
6/27/24,213_X4_42_rt2_i
6/27/24,213_X4_42_rt2_o
6/27/24,213_X4_42_rt3_i
7/14/23,213_X4_42_rt3_o
6/27/24,219_X2_24_rt1_i
6/27/24,219_X2_24_rt1_o
6/27/24,219_X2_24_rt2_i
6/27/24,219_X2_24_rt2_o
6/27/24,219_X2_24_rt3_i
7/14/23,219_X2_24_rt3_o
6/27/24,301_X2_45_rt1_i
7/14/23,301_X2_45_rt1_o
6/27/24,301_X2_45_rt2_i
7/14/23,301_X2_45_rt2_o
6/27/24,301_X2_45_rt3_i
6/27/24,301_X2_45_rt3_o
6/27/24,303_X11_68_rt1_i
6/27/24,303_X11_68_rt1_o
6/27/24,303_X11_68_rt2_i
7/14/23,303_X11_68_rt2_o
6/27/24,303_X11_68_rt3_i
6/27/24,303_X11_68_rt3_o
6/27/24,306_X4_32_rti_i
6/27/24,306_X4_32_rti_o
6/27/24,306_X4_32_rt2_i
6/27/24,306_X4_32_rt2_o
4/10/24,306_X4_32_rt3_i
6/27/24,306_X4_32_rt3_o
7/14/23,314_X5_66_rt1_i
7/14/23,314_X5_66_rt1_o
4/10/24,314_X5_66_rt2_i
4/10/24,314_X5_66_rt2_o
7/14/23,314_X5_66_rt3_i
7/14/23,314_X5_66_rt3_o
7/14/23,318_A04_rt1_i
7/14/23,318_A04_rt1_o
7/26/23,318_A04_rt2_i
7/14/23,318_A04_rt2_o
7/14/23,318_A04_rt3_i
7/14/23,318_A04_rt3_o
7/14/23,405_X10_39_rt1_i
7/14/23,405_X10_39_rt1_o
7/14/23,405_X10_39_rt2_i
7/14/23,405_X10_39_rt2_o
7/14/23,405_X10_39_rt3_i
7/14/23,405_X10_39_rt3_o
7/14/23,408_X4_46_rt1_i
4/10/24,408_X4_46_rt1_o
7/14/23,408_X4_46_rt2_i
7/14/23,408_X4_46_rt2_o
7/14/23,408_X4_46_rt3_i
4/10/24,408_X4_46_rt3_o
7/14/23,411_C17_rt1_i
4/10/24,411_C17_rt1_o
7/14/23,411_C17_rt2_i
7/14/23,411_C17_rt2_o
7/14/23,411_C17_rt3_i
7/14/23,411_C17_rt3_o
7/14/23,414_X8_41.5_rt1_i
7/14/23,414_X8_41.5_rt1_o
7/14/23,414_X8_41.5_rt2_i
4/10/24,414_X8_41.5_rt2_o
7/14/23,414_X8_41.5_rt3_i
4/10/24,414_X8_41.5_rt3_o
7/14/23,420_A03_rt1_i
7/14/23,420_A03_rt1_o
7/14/23,420_A03_rt2_i
7/14/23,420_A03_rt2_o
7/14/23,420_A03_rt3_i
7/14/23,420_A03_rt3_o
8/10/23,105_X5_66_rt1_i
8/10/23,105_X5_66_rt1_o
8/10/23,105_X5_66_rt2_i
8/10/23,105_X5_66_rt2_o
8/10/23,105_X5_66_rt3_i
8/10/23,105_X5_66_rt3_o
8/10/23,106_X4_46_rt1_i
8/10/23,106_X4_46_rt1_o
8/10/23,106_X4_46_rt2_i
8/10/23,106_X4_46_rt2_o
8/10/23,106_X4_46_rt3_i
8/10/23,106_X4_46_rt3_o
8/10/23,107_X4_32_rt1_i
8/10/23,107_X4_32_rt1_o
8/10/23,107_X4_32_rt2_i
8/10/23,107_X4_32_rt2_o
8/10/23,107_X4_32_rt3_i
8/10/23,107_X4_32_rt3_o
8/10/23,112_X4_67_rt1_i
8/10/23,112_X4_67_rt1_o
8/10/23,112_X4_67_rt2_i
8/10/23,112_X4_67_rt2_o
8/10/23,112_X4_67_rt3_i
8/10/23,112_X4_67_rt3_o
4/10/24,118_C14_rt1_i
8/10/23,118_C14_rt1_o
8/10/23,118_C14_rt2_i
8/10/23,118_C14_rt2_o
8/10/23,118_C14_rt3_i
8/10/23,118_C14_rt3_o
8/10/23,205_X1_54_rt1_i
8/10/23,205_X1_54_rt1_o
8/10/23,205_X1_54_rt2_i
8/10/23,205_X1_54_rt2_o
8/10/23,205_X1_54_rt3_i
8/10/23,205_X1_54_rt3_o
8/10/23,207_A04_rt1_i
8/10/23,207_A04_rt1_o
8/10/23,207_A04_rt2_i
8/10/23,207_A04_rt2_o
8/10/23,207_A04_rt3_i
8/10/23,207_A04_rt3_o
8/10/23,210_X11_68_rt1_i
8/10/23,210_X11_68_rt1_o
8/10/23,210_X11_68_rt2_i
8/10/23,210_X11_68_rt2_o
8/10/23,210_X11_68_rt3_i
8/10/23,210_X11_68_rt3_o
8/7/23,218_X8_41.5_rt1_i
8/7/23,218_X8_41.5_rt1_o
8/10/23,218_X8_41.5_rt2_i
6/27/24,218_X8_41.5_rt2_o
8/7/23,218_X8_41.5_rt3_i
8/7/23,218_X8_41.5_rt3_o
8/7/23,220_X10_39_rt1_i
8/7/23,220_X10_39_rt1_o
6/27/24,220_X10_39_rt2_i
8/10/23,220_X10_39_rt2_o
6/27/24,220_X10_39_rt3_i
6/27/24,220_X10_39_rt3_o
6/27/24,302_C17_rt1_i
8/7/23,302_C17_rt1_o
6/27/24,302_C17_rt2_i
8/10/23,302_C17_rt2_o
8/7/23,302_C17_rt3_i
8/7/23,302_C17_rt3_o
8/7/23,304_X5_31_rt1_i
8/7/23,304_X5_31_rt1_o
8/7/23,304_X5_31_rt2_i
8/7/23,304_X5_31_rt2_o
6/27/24,304_X5_31_rt3_i
8/7/23,304_X5_31_rt3_o
8/7/23,307_A03_rt1_i
8/7/23,307_A03_rt1_o
6/27/24,307_A03_rt2_i
8/7/23,307_A03_rt2_o
8/7/23,307_A03_rt3_i
8/7/23,307_A03_rt3_o
6/27/24,317_X4_42_rt1_i
8/7/23,317_X4_42_rt1_o
4/10/24,317_X4_42_rt2_i
8/7/23,317_X4_42_rt2_o
8/7/23,317_X4_42_rt3_i
8/7/23,317_X4_42_rt3_o
6/27/24,319_X8_37_rt1_i
8/7/23,319_X8_37_rt1_o
8/7/23,319_X8_37_rt2_i
8/7/23,319_X8_37_rt2_o
6/27/24,319_X8_37_rt3_i
8/7/23,319_X8_37_rt3_o
8/7/23,402_X11_57_rt1_i
6/27/24,402_X11_57_rt1_o
6/27/24,402_X11_57_rt2_i
6/27/24,402_X11_57_rt2_o
6/27/24,402_X11_57_rt3_i
8/7/23,402_X11_57_rt3_o
8/7/23,403_A20_rt1_i
8/7/23,403_A20_rt1_o
8/7/23,403_A20_rt2_i
6/27/24,403_A20_rt2_o
8/7/23,403_A20_rt3_i
8/7/23,403_A20_rt3_o
8/7/23,407_X2_24_rt1_i
8/7/23,407_X2_24_rt1_o
8/7/23,407_X2_24_rt2_i
8/7/23,407_X2_24_rt2_o
8/7/23,407_X2_24_rt3_i
8/7/23,407_X2_24_rt3_o
8/7/23,409_X2_45_rt1_i
6/27/24,409_X2_45_rt1_o
8/7/23,409_X2_45_rt2_i
6/27/24,409_X2_45_rt2_o
8/7/23,409_X2_45_rt3_i
8/7/23,409_X2_45_rt3_o
6/27/24,418_X5_36_rt1_i
8/7/23,418_X5_36_rt1_o
8/7/23,418_X5_36_rt2_i
4/10/24,418_X5_36_rt2_o
8/7/23,418_X5_36_rt3_i
8/7/23,418_X5_36_rt3_o
