Manes.01G022600.v8.1	1	1	0
Manes.01G022750.v8.1	34	34	0
Manes.01G022900.v8.1	242	242	0
Manes.01G023000.v8.1	0	0	0
Manes.01G023100.v8.1	0	0	0
Manes.01G023200.v8.1	10	35	5
Manes.01G023300.v8.1	1	6	25
Manes.01G023400.v8.1	14	14	0
Manes.01G023500.v8.1	0	0	0
Manes.01G023600.v8.1	1	0	1
Manes.01G023700.v8.1	6	6	0
Manes.01G023900.v8.1	11	11	0
Manes.01G024000.v8.1	2	2	0
Manes.01G024100.v8.1	0	0	0
Manes.01G024200.v8.1	0	0	0
Manes.01G024300.v8.1	45	45	0
Manes.01G024400.v8.1	111	111	0
Manes.01G024500.v8.1	0	0	0
Manes.01G024600.v8.1	7	7	0
Manes.01G024700.v8.1	3	3	0
Manes.01G025000.v8.1	81	81	0
Manes.01G025100.v8.1	0	0	0
Manes.01G025200.v8.1	0	0	0
Manes.01G025300.v8.1	0	0	0
Manes.01G025400.v8.1	247	247	0
Manes.01G025500.v8.1	0	0	0
Manes.01G025600.v8.1	0	0	0
Manes.01G025700.v8.1	0	0	0
Manes.01G025900.v8.1	1	1	0
Manes.01G026000.v8.1	17	17	0
Manes.01G026100.v8.1	0	0	0
Manes.01G026200.v8.1	9	9	0
Manes.01G026300.v8.1	2	2	0
Manes.01G026400.v8.1	0	0	0
Manes.01G026500.v8.1	2	2	0
Manes.01G026600.v8.1	221	221	0
Manes.01G026700.v8.1	3	5	6
Manes.01G026800.v8.1	22	28	2
Manes.01G026850.v8.1	13	13	0
Manes.01G026900.v8.1	288	288	0
Manes.01G027000.v8.1	44	44	0
Manes.01G027100.v8.1	1982	1982	0
Manes.01G027150.v8.1	0	0	0
Manes.01G027200.v8.1	131	131	0
Manes.01G027300.v8.1	0	0	0
Manes.01G027350.v8.1	1	1	0
Manes.01G027400.v8.1	59	59	0
Manes.01G027500.v8.1	12	7	5
Manes.01G027600.v8.1	14	14	0
Manes.01G027700.v8.1	14	14	0
Manes.01G027800.v8.1	0	0	0
Manes.01G027900.v8.1	43	43	0
Manes.01G028000.v8.1	0	0	0
Manes.01G028100.v8.1	22	22	0
Manes.01G028200.v8.1	3	3	0
Manes.01G028300.v8.1	2	2	0
Manes.01G028400.v8.1	117	117	0
Manes.01G028500.v8.1	26	26	0
Manes.01G028600.v8.1	3	3	0
Manes.01G028700.v8.1	213	213	0
Manes.01G028800.v8.1	102	102	0
Manes.01G028900.v8.1	2	2	0
Manes.01G029100.v8.1	32	31	1
Manes.01G029200.v8.1	0	0	0
Manes.01G029300.v8.1	24	22	2
Manes.01G029400.v8.1	263	263	0
Manes.01G029500.v8.1	0	0	0
Manes.01G029800.v8.1	6	6	0
Manes.01G029900.v8.1	0	0	0
Manes.01G029950.v8.1	41	1	40
Manes.01G030000.v8.1	0	0	0
Manes.01G030100.v8.1	68	58	10
Manes.01G030200.v8.1	25	25	0
Manes.01G030400.v8.1	17	17	0
Manes.01G030500.v8.1	28	4	24
Manes.01G030700.v8.1	98	98	0
Manes.01G030800.v8.1	0	0	0
Manes.01G030900.v8.1	2	2	0
Manes.01G031100.v8.1	51	66	0
Manes.01G031001.v8.1	18	14	4
Manes.01G031200.v8.1	9	9	15
Manes.01G031300.v8.1	0	0	8
Manes.01G031400.v8.1	11	19	0
Manes.01G031600.v8.1	13	13	0
Manes.01G031700.v8.1	0	0	0
Manes.01G031800.v8.1	80	80	0
Manes.01G031900.v8.1	0	0	0
Manes.01G032000.v8.1	0	0	0
Manes.01G032100.v8.1	22	22	0
Manes.01G032300.v8.1	3	3	0
Manes.01G032400.v8.1	35	35	0
Manes.01G032500.v8.1	21	21	0
Manes.01G032600.v8.1	47	47	0
Manes.01G032800.v8.1	177	177	0
Manes.01G032900.v8.1	32	32	0
Manes.01G033000.v8.1	0	0	0
Manes.01G033100.v8.1	60	60	0
Manes.01G033200.v8.1	6	9	0
Manes.01G033300.v8.1	9	9	3
Manes.01G033400.v8.1	7	7	0
Manes.01G033500.v8.1	0	0	0
Manes.01G033600.v8.1	88	88	0
Manes.01G033700.v8.1	7	7	0
Manes.01G034000.v8.1	28	28	0
Manes.01G034100.v8.1	1	1	0
Manes.01G034200.v8.1	536	536	0
Manes.01G034250.v8.1	0	0	0
Manes.01G034300.v8.1	28	27	1
Manes.01G034400.v8.1	23	23	0
Manes.01G034500.v8.1	1	1	0
Manes.01G034600.v8.1	6	6	0
Manes.01G034700.v8.1	2	2	0
Manes.01G034800.v8.1	2	2	0
Manes.01G034900.v8.1	0	0	0
Manes.01G035000.v8.1	4	3	1
Manes.01G035100.v8.1	0	0	0
Manes.01G036200.v8.1	344	344	0
Manes.01G036300.v8.1	29	29	0
Manes.01G037766.v8.1	0	0	0
Manes.01G039232.v8.1	0	0	0
Manes.01G040700.v8.1	1	1	0
Manes.01G040712.v8.1	22	22	0
Manes.01G040500.v8.1	12	12	0
Manes.01G040400.v8.1	79	79	0
Manes.01G040300.v8.1	0	0	0
Manes.01G040200.v8.1	181	181	0
Manes.01G040100.v8.1	71	71	0
Manes.01G040000.v8.1	0	0	0
Manes.01G039700.v8.1	3	3	0
Manes.01G039500.v8.1	6	6	0
Manes.01G039400.v8.1	1	1	0
Manes.01G039300.v8.1	0	0	0
Manes.01G039200.v8.1	70	70	0
Manes.01G036500.v8.1	13	13	0
